index,0,1,2,Digit
0,84.01125,154.85797,0,7
1,95.19482,81.81258,29.89062,2
2,84.91257,0,7.518265,1
3,226.74405,78.33243,97.122375,0
4,111.31783,160.22308,134.01718,4
5,95.993095,0,0,1
6,109.155106,140.71332,130.85223,4
7,0,107.786606,4.263553,9
8,59.48217,67.15861,136.64117,5
9,21.645617,178.64609,9.60651,9
10,247.46486,92.34754,95.30347,0
11,199.61392,39.089977,162.99672,6
12,8.835757,143.04091,20.486612,9
13,272.25082,104.38356,94.46495,0
14,59.196053,0,0,1
15,19.452627,59.52351,107.296585,5
16,0,149.43764,0,9
17,94.33602,175.24878,0,7
18,0,42.524998,46.37608,3
19,127.89986,174.32016,148.95856,4
20,6.4294763,93.12779,0.7577647,9
21,168.66058,69.71679,160.12964,6
22,200.07083,43.251194,168.41617,6
23,34.28236,70.07565,151.0265,5
24,87.29522,130.20114,103.027145,4
25,246.93767,97.175514,105.261536,0
26,80.33984,168.23398,0,7
27,159.26987,191.42612,177.42192,4
28,233.32016,83.01871,78.46488,0
29,66.39112,0,0,1
30,0,58.141323,51.613037,3
31,91.13448,0,0,1
32,0,57.771038,54.53046,3
33,200.13028,195.51764,190.47623,4
34,67.040764,110.54009,0,7
35,69.26639,57.76914,26.743717,2
36,80.48315,117.924736,0,7
37,72.748055,0,0,1
38,55.7068,40.761948,15.48273,2
39,68.314095,0,0,1
40,60.434372,0,0,1
41,50.412174,71.55115,5.189994,7
42,139.8689,195.7619,159.81085,4
43,59.52237,57.187767,34.178543,2
44,0,39.81739,38.594597,3
45,39.61665,65.441055,139.93173,5
46,83.220055,0,0,1
47,81.32868,65.96559,22.233353,2
48,101.7156,145.57524,119.39462,4
49,151.84274,207.33235,180.6911,4
50,189.78171,59.68086,170.76263,6
51,0,50.81023,44.943924,3
52,20.221344,74.20387,148.06601,5
53,14.671603,57.72063,124.060234,5
54,293.66934,60.55184,257.40503,6
55,288.9518,114.54606,107.14956,0
56,186.26138,221.8902,205.20688,4
57,80.65159,0,0.5796591,1
58,0,171.5662,17.06182,9
59,8.5712,79.43577,97.79877,5
60,102.567535,190.1551,0,7
61,3.7993073,0,67.91838,8
62,20.283611,65.089424,43.326653,9
63,0,30.627472,26.345343,3
64,77.59464,141.18869,0.13081443,7
65,64.87848,104.52895,92.480896,4
66,181.51039,33.29787,149.24591,6
67,84.93333,113.06885,111.6181,4
68,0,50.821033,48.270706,3
69,225.02579,85.902145,95.422485,0
70,75.7282,164.08789,0,7
71,315.55957,112.80748,129.30768,0
72,69.02038,51.176815,22.51656,2
73,0,78.59747,0,9
74,58.735977,0,0,1
75,85.09031,174.75418,0,7
76,0,48.07842,42.40761,3
77,52.478973,45.764133,19.526072,2
78,11.191158,97.52791,31.155575,9
79,54.406982,99.29863,0,7
80,80.77282,137.16562,1.5033716,7
81,163.06021,48.035378,144.81677,6
82,92.736534,73.67672,28.231796,2
83,77.16873,150.2753,0,7
84,48.33038,0,96.5531,8
85,123.70256,161.14815,142.423,4
86,54.828228,111.69792,0,7
87,0,41.642456,36.589844,3
88,221.21863,74.317116,198.00943,6
89,60.71184,0,0,1
90,0,46.26582,40.731735,3
91,176.83243,61.194427,161.34775,6
92,20.952099,44.28117,26.984386,9
93,0,39.193954,34.006447,3
94,72.266884,0,0,1
95,79.81446,111.45341,101.89742,4
96,54.40062,12.879785,2.9604082,1
97,64.908455,102.073814,0,7
98,147.67078,53.435005,137.04347,6
99,0,154.09805,0.05729759,9
100,185.58525,49.25024,164.86295,6
101,291.24292,104.58267,114.045685,0
102,0,76.25403,153.5131,5
103,150.64032,202.42451,175.76361,4
104,0,106.75098,28.270964,9
105,0,125.931366,4.8001666,9
106,65.38923,52.161304,19.844309,2
107,102.47086,0,35.926384,1
108,5.792088,135.61076,33.12636,9
109,138.95575,200.02454,161.78452,4
110,14.934224,0,106.87016,8
111,37.69907,64.72254,0,7
112,0,53.135593,45.927082,3
113,0,128.73883,3.3003254,9
114,59.180023,104.40895,0,7
115,43.36157,83.66041,60.956856,4
116,121.09994,173.6891,140.17085,4
117,162.13689,194.87996,183.2649,4
118,0,75.6648,6.958147,9
119,33.240383,26.313826,12.864723,2
120,0,65.982475,134.54918,5
121,100.05256,118.15027,100.81019,4
122,82.83011,133.1518,0,7
123,196.13821,45.58314,173.35204,6
124,107.96607,221.09389,24.4187,7
125,8.997724,94.9325,22.974623,9
126,187.20421,68.363396,78.15347,0
127,17.35677,84.59811,177.7391,5
128,31.093075,0,138.57309,8
129,17.350023,85.48457,192.54239,5
130,142.36046,38.18092,127.76578,6
131,170.4455,49.71372,153.22046,6
132,5.521094,72.94643,126.814285,5
133,72.72183,122.06529,0,7
134,12.30029,0,123.84142,8
135,71.45795,0,0,1
136,265.18408,107.45276,99.95943,0
137,81.8527,0,0,1
138,220.90254,56.446796,190.6825,6
139,92.597755,151.414,106.25896,4
140,168.29582,48.713387,149.7756,6
141,109.033,203.92368,0,7
142,0,40.7413,34.79563,3
143,102.7995,0,0,1
144,62.661438,112.3324,0,7
145,86.34719,0,0,1
146,23.337059,0,103.00619,8
147,65.22277,56.125843,21.76772,2
148,291.63928,109.65389,118.65496,0
149,30.493143,25.26965,12.510265,2
150,0,121.116806,0,9
151,0,51.0851,0,9
152,22.573822,73.11094,185.3733,5
153,8.142774,67.72215,126.333984,5
154,82.60285,0,0,1
155,32.894154,75.67691,155.58792,5
156,227.87854,100.4718,217.92665,6
157,245.96268,98.44786,88.942856,0
158,4.8687787,37.758503,30.330986,3
159,60.345318,105.23034,77.34868,4
160,108.218285,101.335236,118.07276,4
161,181.67603,58.310223,164.15123,6
162,11.564616,101.64794,204.93785,5
163,155.08405,206.67416,177.90132,4
164,161.18826,64.50159,143.43015,6
165,16.54265,76.84257,158.01352,5
166,109.58356,159.67023,139.86157,4
167,11.582928,50.78191,101.86448,5
168,77.69925,0,0,1
169,137.79456,194.542,161.13031,4
170,140.24973,200.14565,167.67348,4
171,35.68721,54.70918,0,7
172,65.92254,50.65988,16.326159,2
173,0,39.365467,35.72975,3
174,46.89072,38.981377,18.018059,2
175,18.230167,27.845793,0,7
176,68.885445,0,1.5889024,1
177,50.41724,0,66.41893,8
178,77.249466,0,0,1
179,7.63483,0,67.72988,8
180,73.03803,0,0,1
181,33.149952,0,108.470406,8
182,37.899776,69.1825,138.68465,5
183,321.04065,115.33619,137.1842,0
184,4.8394437,0,37.45166,8
185,0,118.12747,22.989859,9
186,70.88958,53.601048,21.300194,2
187,8.193836,55.317776,109.018005,5
188,366.48996,146.73926,131.68512,0
189,68.62971,0,13.720109,1
190,53.65216,0,0,1
191,78.80922,0,0,1
192,279.7282,106.44687,114.73369,0
193,7.5528445,90.437485,29.748552,9
194,234.49991,84.55698,78.36454,0
195,0,26.064741,21.972334,3
196,68.56299,0,0,1
197,200.53824,66.59571,179.68655,6
198,129.24254,175.28079,150.5112,4
199,36.067158,28.958036,17.430098,2
200,0,34.61738,31.302166,3
201,216.18219,40.744717,184.5041,6
202,92.531555,0,3.1461341,1
203,61.51903,0,0,1
204,83.553246,0,6.023903,1
205,0,45.575405,42.623188,3
206,0.49043185,118.77399,13.617015,9
207,18.713793,62.878265,127.74669,5
