index,0,1,Digit
0,-1.303071141,2.932536364,7
1,0.081117868,-3.747422934,2
2,-3.709954023,-1.68956542,1
3,4.838803768,0.442917883,0
4,0.742221832,2.802281857,4
5,-4.005018234,-1.901310682,1
6,-0.998917818,2.164755106,4
7,-1.247478724,1.361778736,9
8,1.028718233,0.557282269,5
9,-0.12159434,3.281720877,9
10,4.413849354,-2.39674592,0
11,1.310921431,-0.76225704,6
12,-0.662545621,3.895394802,9
13,4.114962101,0.129439414,0
14,-3.443874359,-1.571148515,1
15,0.435630322,-1.525632501,5
16,0.679028988,3.469495535,9
17,-0.065779001,2.64231205,7
18,0.309317708,-1.394221306,3
19,-0.948911369,2.593684196,4
20,-1.428402424,1.814919472,9
21,0.657531142,-0.082488865,6
22,-0.360840648,0.815072536,6
23,-0.248285517,-0.435257852,5
24,-1.37798214,1.865583181,4
25,7.407419205,-0.424619734,0
26,-1.01262939,2.322245598,7
27,0.882260799,3.455051184,4
28,4.423632145,-1.392120004,0
29,-3.000990629,-0.604485154,1
30,-0.699171901,-1.028129458,3
31,-2.940380812,-0.05795306,1
32,-0.264473587,-1.221486092,3
33,1.843341351,1.018324137,4
34,-1.079733491,1.0265975,7
35,1.630635977,-1.668618798,2
36,-0.548007607,2.709599018,7
37,-3.41028285,-0.522635877,1
38,-0.372184694,-3.147119045,2
39,-3.56773591,-2.164087296,1
40,-3.39997673,-0.738605201,1
41,-1.652468681,2.396438122,7
42,-1.608619452,2.733138561,4
43,-1.960626602,-1.535807371,2
44,-1.672513723,-0.96851933,3
45,0.351412177,-1.601532578,5
46,-1.817763567,0.027094126,1
47,-1.84405303,0.048755128,2
48,2.186367512,4.045957565,4
49,0.837216675,2.930708885,4
50,-0.033963911,-0.862807035,6
51,1.713085771,-1.360709906,3
52,0.518241167,1.150877595,5
53,-0.055570792,-0.827432215,5
54,0.846550167,-0.217031986,6
55,2.535571098,-0.593307078,0
56,2.25808692,3.356897354,4
57,-3.769089222,-1.645215869,1
58,0.833955646,4.183744431,9
59,-2.26421237,0.118931264,5
60,0.426860124,2.053854227,7
61,1.134329319,0.33229205,8
62,-1.575298309,1.305771828,9
63,-1.198261857,-0.956978083,3
64,-0.347658277,2.146542072,7
65,-2.273351908,0.534699917,4
66,0.392140031,0.192227274,6
67,-0.193623275,2.745976448,4
68,0.241154134,-1.835836411,3
69,2.683819771,-0.371196687,0
70,-0.238267213,2.68949461,7
71,6.920710087,-2.033938646,0
72,1.960005999,-2.455436707,2
73,-1.498064041,-0.582758904,9
74,-3.483080864,-0.985427856,1
75,-2.645418644,2.009659767,7
76,-0.901304841,-2.548639297,3
77,-1.680586815,1.35140276,2
78,-3.07840538,-0.235289246,9
79,0.313220531,2.709860563,7
