index,0,1,2,Digit
0,-1.303069472,2.932543039,-0.168038175,7
1,0.081118643,-3.747394562,-0.598942995,2
2,-3.7099545,-1.6895895,0.259536207,1
3,4.838802814,0.442901373,0.995315015,0
4,0.742221832,2.80227685,-1.144714594,4
5,-4.005019188,-1.9013412,0.313805431,1
6,-0.998913884,2.164810181,-1.82012558,4
7,-1.247480035,1.361771822,-1.528476357,9
8,1.028718114,0.557252049,1.025280237,5
9,-0.121592849,3.281711817,2.107868433,9
10,4.413849831,-2.3967309,-1.847886443,0
11,1.310923696,-0.762218177,-0.770892739,6
12,-0.662543893,3.895405293,0.496923804,9
13,4.114961147,0.129416421,-1.178486109,0
14,-3.443872213,-1.571133494,0.18901664,1
15,0.435630828,-1.525607705,-2.92931366,5
16,0.67903018,3.469489813,-1.689590931,9
17,-0.065778553,2.642310143,-1.372901082,7
18,0.309317708,-1.394181371,-2.721356869,3
19,-0.948910058,2.593687057,-1.085336804,4
20,-1.428401947,1.814921379,1.46643424,9
21,0.657530427,-0.082482517,-1.17954278,6
22,-0.360839337,0.815089941,-0.467149854,6
23,-0.248286143,-0.435278594,0.489996135,5
24,-1.37798214,1.865568399,-1.797522068,4
25,7.407419682,-0.424637198,2.68375206,0
26,-1.01263082,2.322232246,-2.11584878,7
27,0.882261038,3.455048084,-0.709489942,4
28,4.423630714,-1.392135262,-0.72106266,0
29,-3.000988483,-0.604450166,-0.423259556,1
30,-0.699172556,-1.028145075,-2.152760983,3
31,-2.940379381,-0.057925582,-1.051688075,1
32,-0.264473766,-1.221481919,-4.211160183,3
33,1.843340635,1.01832819,0.836074889,4
34,-1.079734206,1.026574612,1.964858055,7
35,1.630635977,-1.668598056,0.870831847,2
36,-0.548006654,2.70960474,-1.435266376,7
37,-3.410280704,-0.522607028,-0.298160881,1
38,-0.372184873,-3.147115946,-1.112441063,2
39,-3.567734957,-2.164088249,0.349283457,1
40,-3.399976254,-0.73860091,-0.290181518,1
41,-1.652469039,2.396417618,-0.752613246,7
42,-1.608615875,2.733165503,-1.393296719,4
43,-1.960627317,-1.535819292,0.534026265,2
44,-1.672512054,-0.968505204,-0.51161623,3
45,0.351411194,-1.601531386,-1.206937075,5
46,-1.817762852,0.027115583,-1.944772482,1
47,-1.844052315,0.048751757,0.781993628,2
48,2.186368942,4.045986176,-2.369566917,4
49,0.837215662,2.930688381,-1.041201591,4
50,-0.033965133,-0.862825871,0.727821469,6
51,1.713085413,-1.360693097,-3.534737349,3
52,0.518240809,1.150859118,0.026186883,5
53,-0.05557023,-0.827414572,-3.19866538,5
54,0.84655273,-0.216987044,-1.380504847,6
55,2.535568237,-0.593315721,-0.646313488,0
56,2.25808835,3.356899977,-1.699804187,4
57,-3.769089699,-1.645242691,-0.185964674,1
58,0.833955526,4.183732986,-0.762632608,9
59,-2.264212608,0.118925095,0.803102314,5
60,0.426856875,2.053845406,-3.471740007,7
61,1.134329081,0.332300991,3.650371552,8
62,-1.575297475,1.305767775,-1.366552472,9
63,-1.198259473,-0.956960261,1.049475908,3
64,-0.347659111,2.146520615,1.48173666,7
65,-2.273351192,0.534712017,-1.028834343,4
66,0.392141759,0.192245021,0.295746654,6
67,-0.193621695,2.745994091,-0.047114968,4
68,0.241154164,-1.835843921,-3.11745882,3
69,2.683819532,-0.371190786,-0.097478926,0
70,-0.238266945,2.689495325,-0.63878876,7
71,6.92071104,-2.033920527,-1.245998621,0
72,1.960006237,-2.455429077,0.373641133,2
73,-1.49806571,-0.582774878,2.299999714,9
74,-3.483078957,-0.985412836,0.339008629,1
75,-2.645416975,2.00966835,-0.143332511,7
76,-0.901305139,-2.54864192,-2.825292826,3
77,-1.680587292,1.35140121,-0.705022752,2
78,-3.078405619,-0.235295057,0.73177886,9
79,0.31321919,2.709844589,2.50960803,7
80,-0.524547219,3.015228271,-2.182026863,7
81,1.634319305,0.789096594,0.338231146,6
82,1.234566808,-1.71314764,2.149731874,2
83,-0.726258516,3.300713539,-2.583215237,7
84,-0.219119072,0.372184634,-1.258471847,8
85,2.040331364,3.08054018,-1.90361321,4
86,-2.458808899,2.090308189,0.452186376,7
87,1.086994886,-0.244415641,-3.002926826,3
88,1.340795398,2.058835506,-0.188695252,6
89,-3.923349619,-2.272008896,1.08207202,1
90,0.882574797,-2.554508924,-2.728794575,3
91,-0.296477258,0.296299756,0.875095129,6
92,-2.284826517,0.413727164,1.524171591,9
93,0.511959076,-1.453361988,-1.762045383,3
94,-2.677504539,-0.798794448,-0.498416781,1
95,1.368199468,2.594681263,1.078975201,4
96,-2.55519104,0.191646338,-1.452092767,1
97,-2.144750834,0.186593324,-0.418739676,7
98,1.349697948,-0.495387942,0.310206115,6
99,0.759055972,3.351020098,-2.421868086,9
100,-0.667390704,0.458302885,-0.630858779,6
101,3.416798353,-0.631646395,-1.318626404,0
102,0.783574939,1.130821943,-2.738257408,5
103,1.092113018,2.949441671,-0.881237566,4
104,0.297974646,1.162578225,-3.110801697,9
105,-0.160061151,3.627655029,-1.217339039,9
106,2.75404501,-1.603395104,0.817477584,2
107,-3.058240414,-2.583727121,0.303034216,1
108,-0.320913851,2.085582733,-2.895688057,9
109,-0.442029715,2.776435852,0.385134369,4
110,-0.143200755,-2.217746973,1.04317832,8
111,-3.513723373,-0.978420019,-0.269579291,7
112,-1.751017928,-1.160334468,-1.421818495,3
113,-1.172125459,3.377998114,-1.153988957,9
114,-2.734759331,1.362196684,-0.085518911,7
115,-1.920589209,1.655092359,0.871075273,4
