index,0,1,Digit
0,-4.63035,10.002004,7
1,1.7847644,0.1406106,2
2,-3.4074683,-0.91657424,1
3,14.565357,6.90093,0
4,0.41094458,14.719279,4
5,-3.5895786,-0.8033622,1
6,-0.4749732,14.534753,4
7,1.139498,12.943093,9
8,2.879601,6.103562,5
9,-1.112207,10.016319,9
10,14.721877,8.111986,0
11,11.530817,6.095397,6
12,-0.42414463,11.3133,9
13,14.302508,7.6292725,0
14,-1.7064135,-3.2074597,1
15,5.0518093,7.657298,5
16,0.77751786,11.712966,9
17,-4.9043674,10.273157,7
18,6.1584563,7.462506,3
19,-0.11821594,14.040214,4
20,-1.607204,10.277596,9
21,10.396618,4.5930824,6
22,11.340562,6.2744284,6
23,3.4830115,5.5926313,5
24,0.50920933,13.749984,4
25,15.901011,7.989364,0
26,-4.937287,11.759237,7
27,0.027634462,14.412998,4
28,14.365472,6.9581857,0
29,-0.635664,-3.7214267,1
30,5.8077273,5.803252,3
31,-0.89366263,-4.308403,1
32,5.700377,6.9983997,3
33,11.712559,5.206572,4
34,-3.6023538,8.496234,7
35,3.9231253,-0.96605533,2
36,-4.206156,10.7354965,7
37,-0.8659796,-3.3372643,1
38,1.746941,0.07766425,2
39,-2.1388695,-2.2107944,1
40,-1.2272122,-2.0624378,1
41,-3.8508613,10.164928,7
42,-0.4639884,14.120429,4
43,3.1862109,0.7522083,2
44,6.0383015,5.8281507,3
45,4.1562777,6.12716,5
46,-0.4031791,-4.200292,1
47,3.1956844,-1.0482433,2
48,-0.010308859,14.450574,4
49,0.94415474,14.647017,4
50,10.352767,3.045192,6
51,6.146265,7.2838655,3
52,3.4018795,5.356892,5
53,4.78071,7.643091,5
54,11.764161,6.414477,6
55,14.229028,6.587157,0
56,0.5639391,14.826808,4
57,-3.3063283,-1.4705802,1
58,0.22840719,11.3855505,9
59,2.4692695,4.403146,5
60,-5.135234,11.696527,7
61,-0.28176865,6.0006275,8
62,0.15148357,12.440416,9
63,6.1650176,4.4626117,3
64,-4.0641427,8.346127,7
65,-0.3713013,12.865735,4
66,11.387666,6.085733,6
67,0.34330744,14.880907,4
68,5.7563334,5.972896,3
69,15.7692795,8.886375,0
70,-5.061987,10.2868,7
71,14.918339,8.400319,0
72,4.3705783,-1.4347893,2
73,-2.2147796,9.2691145,9
74,-1.3116033,-2.6961699,1
75,-3.7906888,10.975938,7
76,6.2776976,5.9886355,3
77,-3.848784,9.753374,2
78,-1.9681522,10.095221,9
79,-4.6533494,8.557012,7
80,-4.539218,11.83217,7
81,10.842603,4.389494,6
82,3.6239393,-0.8883601,2
83,-4.6585875,11.60505,7
84,1.8223624,7.5178313,8
85,0.22751449,14.7252655,4
86,-3.9749198,9.396513,7
87,5.8593526,6.9123826,3
88,11.138817,5.712602,6
89,-3.2325015,-0.15451099,1
90,6.115019,5.611622,3
91,10.638291,4.0948987,6
92,-1.6739463,9.631124,9
93,6.0064263,5.7638254,3
94,-0.78167564,-3.5420396,1
95,-0.96048623,14.164141,4
96,-0.5212384,-4.3395553,1
97,-3.212667,10.075022,7
98,10.273401,3.8929825,6
99,1.3643603,12.394719,9
100,11.215866,5.8477173,6
101,14.604585,8.04181,0
102,3.5997765,6.183774,5
103,0.96270055,14.551928,4
104,1.8369181,13.014757,9
105,1.0180005,12.013143,9
106,4.4761424,-1.4132144,2
107,-3.3688574,0.49254245,1
108,0.2476102,12.589596,9
109,-0.7741558,14.182276,4
110,1.0362679,5.9754925,8
111,-3.1135952,9.625735,7
112,5.5771766,5.6728644,3
113,0.51163113,12.098978,9
114,-3.3255897,10.576888,7
115,-0.9541178,11.548115,4
116,-0.41019306,13.670113,4
117,1.0091568,14.835137,4
118,-0.40257502,11.493158,9
119,-3.78783,8.745365,2
120,3.8251462,6.8097653,5
121,-1.6486068,14.880428,4
122,-3.9810395,11.454482,7
123,11.005596,4.451281,6
124,-5.3160176,10.254487,7
125,0.57646537,12.51787,9
126,14.712391,8.943876,0
127,2.9776113,5.529488,5
128,1.2050445,7.4653444,8
129,3.3285377,5.633399,5
130,11.184321,3.6946008,6
131,11.311778,3.3276439,6
132,4.020532,6.849374,5
133,-3.793873,10.662498,7
134,0.7260132,6.5768485,8
135,-2.0667965,-2.3850646,1
136,14.165907,6.883264,0
137,-2.8014956,0.35610494,1
138,11.386153,5.516681,6
139,-1.6687365,15.100788,4
140,10.116065,3.5140228,6
141,-4.9837136,11.788982,7
142,5.7025537,6.568961,3
143,-1.8771143,-1.2464461,1
144,-3.6912806,9.119906,7
145,-0.60558987,-3.7699614,1
146,0.6595577,7.392305,8
147,4.408897,-0.7244402,2
148,14.504516,6.865556,0
149,3.3525605,0.3940607,2
150,0.819648,12.0319605,9
151,3.5310376,7.9217873,9
152,2.7256997,4.7728276,5
153,4.0154424,6.6618457,5
154,-2.048727,-3.7464485,1
155,3.8023818,5.3524704,5
156,11.050119,5.809634,6
157,14.067185,7.024126,0
158,6.6574516,6.836122,3
159,-0.7270982,12.94831,4
160,-0.32605112,13.584783,4
161,11.457849,3.2924623,6
162,3.5822442,6.192366,5
163,0.8324936,14.66699,4
164,10.88889,5.6751056,6
165,4.516787,7.340419,5
166,-0.42921796,13.587201,4
167,3.0290487,3.541105,5
168,-1.1760775,-3.6171083,1
169,-0.23267442,13.629237,4
170,0.20180082,13.621262,4
171,-3.596523,8.178463,7
172,1.7727172,-0.25378892,2
173,6.018055,7.117788,3
174,2.93961,-1.1468737,2
175,-2.9881709,10.016531,7
176,-1.2347536,-2.0944614,1
177,1.8900338,7.1602182,8
178,-2.4539096,-2.8018222,1
179,1.4879069,7.0367374,8
180,-2.5050519,-3.1500828,1
181,2.0455785,7.0888147,8
182,3.0027668,5.458386,5
183,15.385294,8.457291,0
184,1.7425569,6.627228,8
185,0.08485543,11.372319,9
186,1.9007624,-0.3699112,2
187,4.1416974,7.2689404,5
188,15.3948345,7.5908175,0
189,-0.7452582,-4.3556185,1
190,-3.566876,-0.05122171,1
191,-0.3571317,-4.3204956,1
192,16.33505,6.8565497,0
193,0.8482829,12.85307,9
194,14.800401,7.287596,0
195,4.5938807,6.770699,3
196,-1.4475741,-2.6226006,1
197,10.703738,2.790456,6
198,-0.38223338,14.071977,4
199,3.1919508,-0.7817058,2
200,7.055814,5.577432,3
201,11.839976,5.696622,6
202,-3.7429657,0.53398734,1
203,-1.6686785,-3.7039423,1
204,-3.3920584,-0.9412381,1
205,5.8595166,6.515831,3
206,-0.6203417,11.806669,9
207,4.646236,7.459476,5
208,3.6510987,-0.64962035,2
209,1.3123502,12.8593025,9
210,0.42075464,14.858737,4
211,2.559933,4.984282,5
212,1.7008882,13.02604,9
213,5.505952,5.209101,3
214,0.27306086,12.063063,9
215,14.65033,6.569925,0
216,5.8818727,5.2525187,3
217,10.429664,2.1713884,6
218,2.6433794,4.738645,5
219,4.2822447,5.562338,5
220,-4.6584353,11.66279,7
221,3.4872694,-1.6910509,2
222,3.696804,-0.7110161,2
223,-4.2175694,9.03225,7
224,-3.4903743,-0.119751744,1
225,2.240724,-1.1839032,2
226,1.6904228,7.505901,8
227,-0.94125855,13.460886,4
228,-2.672393,0.022374291,1
229,-3.6396708,10.376235,7
230,6.334331,5.6589217,3
231,6.149695,5.1566954,3
232,2.0327692,7.319558,8
233,0.8790926,7.835253,8
234,-3.441725,10.632157,7
235,0.9982327,12.082645,9
236,2.3789454,-1.1910706,2
237,3.0189228,-0.81611085,2
238,-0.34826374,14.226885,4
239,-1.8815473,-3.7654212,1
240,4.066008,6.7120495,5
241,2.8369954,7.5263896,9
242,-0.48898205,6.264106,8
243,-3.5004458,11.161248,7
244,2.6899087,-0.9955747,2
245,6.210367,7.417894,3
246,14.693511,8.981947,0
247,-1.1945401,13.210454,4
248,0.0891893,14.699995,4
249,2.1050336,-0.44020164,2
250,0.17303516,13.7704935,4
251,-0.9491792,-3.8004212,1
252,0.51493496,12.2722845,9
253,4.017387,6.1338525,5
254,-4.2848573,11.046225,7
255,-3.4618912,10.771762,7
256,2.002407,-0.53126186,2
257,1.8855624,6.916539,8
258,3.7133527,-1.3492266,2
259,11.452691,6.194021,6
260,-0.12834339,6.431702,8
261,3.0825856,4.6339183,5
262,-4.7092695,11.532271,7
263,-3.7103848,10.51781,7
264,0.35871783,12.956979,9
265,-1.6435096,-3.2211885,1
266,2.3944578,6.8209114,8
267,-1.8288789,-2.979249,1
268,3.4084938,7.3981733,8
269,15.849724,8.918153,0
270,5.6906047,7.229574,3
271,14.483893,7.050023,0
272,-1.9892209,-3.5915105,1
273,0.04761138,11.129507,9
274,1.6099817,12.508728,9
275,0.04970956,14.54616,4
276,-1.9155661,-1.6009042,1
277,1.3103,7.4518757,8
278,3.3233645,-1.374809,2
279,-2.1575875,-3.7191765,1
280,1.9814731,-0.21867447,2
281,-0.5237828,10.754155,9
282,-3.273845,10.653479,7
283,2.6098235,4.9652157,5
284,1.6395276,12.552183,9
285,3.1225853,-1.5183706,2
286,9.958103,3.4042146,6
287,1.5782061,14.703615,4
288,-2.8196268,-1.1342733,1
289,3.481309,7.3343053,5
290,2.2016222,7.952394,8
291,1.8333663,-0.06936236,2
292,0.94353205,12.241626,9
293,2.7472794,-0.9945926,2
294,14.314625,7.42107,0
295,1.032793,13.97933,4
296,15.663788,8.222872,0
297,15.636623,8.867921,0
298,2.2658324,-0.12150588,2
299,1.4270462,6.424162,8
300,-2.3428152,-0.77605474,4
301,-3.3716795,10.9106455,7
302,-1.4214115,-3.8246956,1
303,3.2041028,0.01686415,2
304,-1.0494326,13.321703,4
305,14.763281,8.978462,0
306,2.0559516,-0.39413685,2
307,-3.3231063,10.578436,7
308,-1.1168387,14.380323,4
309,6.359047,6.0131726,3
310,6.7119236,6.059211,3
311,14.78585,7.9414687,0
312,14.641015,6.7060895,0
313,6.373647,7.275539,3
314,-1.677114,-3.5293608,1
315,0.32215983,11.081689,9
316,10.407952,2.2221034,6
317,2.7211075,3.578953,5
318,4.3984566,-1.5640498,2
319,4.4910955,7.675141,5
320,-3.1048737,10.510777,9
321,-3.1194227,9.0634985,2
322,0.5870941,12.529159,9
323,5.9621773,5.121041,3
324,13.9631815,7.098009,0
325,-1.6874106,14.868738,4
326,2.0024529,0.23639226,2
327,15.2891245,7.5058446,0
328,-3.8315094,10.505623,7
329,-2.1346817,-2.8652163,1
330,-2.2947335,-3.289457,1
331,1.5668195,-0.6998529,2
332,-2.5333548,-2.7347999,1
333,3.2136028,6.1097975,5
334,6.027822,5.9502025,3
335,6.156906,5.6463847,3
336,1.3643899,12.678421,9
337,-4.4991574,10.574926,7
338,4.255799,7.873447,8
339,10.26439,3.996954,6
340,5.3754177,5.5546117,5
341,1.2609768,14.360733,6
342,-2.2734525,-2.7828724,1
343,7.054435,6.336405,3
344,2.1032476,7.4414086,8
345,-1.9341968,-2.9878116,1
346,14.460952,6.2260656,0
347,3.008258,5.584485,5
348,-2.7325752,-1.3363903,1
349,5.1028304,5.963759,3
350,-0.61741877,-4.120873,1
351,3.4897528,6.7098594,5
352,5.0770707,7.742154,5
353,11.577071,4.8566265,6
354,-4.1957226,2.2081578,1
355,0.22870362,5.8907413,8
356,4.0170627,6.0012236,5
357,-2.6932456,-3.2125251,1
358,0.3646846,13.2552595,7
359,-0.4166774,13.439946,9
360,1.4723705,14.675029,4
361,11.068733,5.604317,6
362,-3.3722668,9.253059,2
363,1.7120874,-0.16654807,2
364,3.4779282,6.6383853,5
365,14.665683,6.6452093,0
366,11.05125,5.5606112,6
367,4.0672526,7.5025887,5
368,10.171532,4.200903,6
369,6.151059,5.507698,3
370,-4.172101,11.431948,7
371,2.2578502,0.22132894,2
372,14.325424,8.566483,0
373,1.2101376,7.5425363,8
374,1.4753036,7.441508,8
375,3.0462294,5.4784164,5
376,-0.4738899,12.701017,4
377,-1.6361128,-1.7947571,1
378,-2.602035,-2.6739707,1
379,0.20721994,14.317144,4
380,14.875008,9.0674305,0
381,-5.0200324,11.590626,3
382,5.8733363,6.6027293,3
383,-3.9943342,10.589639,7
384,11.707723,4.5546093,6
385,-2.755632,-2.540076,1
386,10.590844,3.7203705,6
387,2.7219398,-1.074837,2
388,-3.7029617,1.496709,1
389,-0.52121645,11.973817,9
390,4.2135334,-0.5138135,2
391,0.4962689,7.090204,8
392,10.737094,4.131437,6
393,-1.7684344,-1.8371309,1
394,-0.27906674,10.981621,9
395,4.268779,6.7343426,5
396,3.343884,-0.53915,2
397,4.070105,6.804022,5
398,0.84434474,14.499739,4
399,0.42340517,14.685496,4
400,4.2587185,-1.0630144,2
401,1.6972729,6.8985076,8
402,6.7485104,6.884835,3
403,0.98379517,7.903724,8
404,2.415183,-0.53004944,2
405,1.3433211,14.369702,4
406,4.4621453,7.3427944,5
407,14.614777,7.905612,0
408,6.8475494,6.5183516,3
