index,0,1,2,Digit
0,0.105336085,9.040377,9.043918,7
1,2.357841,3.2260098,10.191334,2
2,-1.9206439,-0.110919304,7.1023593,1
3,10.497707,6.122601,8.547716,0
4,-0.27323598,12.624447,4.05018,4
5,-1.8165199,0.34329107,6.981623,1
6,-0.707467,11.82957,3.7038798,4
7,1.1283901,12.072239,5.425361,9
8,3.6879528,5.44342,1.2038763,5
9,-1.6687047,10.02078,6.824989,9
10,11.399044,7.0405607,8.81114,0
11,9.773772,7.4405494,-1.2119623,6
12,-0.7041088,10.900991,6.126556,9
13,11.245315,6.622784,8.296003,0
14,-0.79786396,-1.0021955,4.7986603,1
15,5.3512836,5.674567,3.0302052,5
16,-0.003427293,11.907409,6.0631604,9
17,0.3498576,9.385011,9.237235,7
18,5.4699845,5.7753453,3.7768157,3
19,-0.19018386,11.737155,4.123988,4
20,-1.3904108,9.6363125,6.6223125,9
21,8.069124,6.641242,-1.2485933,6
22,9.747933,7.6595883,-1.2680191,6
23,4.148835,4.767317,1.2685161,5
24,0.4007355,11.913023,4.2638865,4
25,10.572189,7.257898,9.5364485,0
26,1.1608747,10.568038,8.573843,7
27,-0.35248712,12.220927,4.186464,4
28,10.64918,6.1530495,8.340211,0
29,-0.07569044,-1.4954576,4.1501594,1
30,4.8737445,4.55123,4.423394,3
31,-0.3226456,-1.2827321,3.6769073,1
32,4.9337325,5.581679,4.2290506,3
33,9.370329,6.8294964,-1.4957224,4
34,-0.9439729,7.841682,8.755093,7
35,4.4309187,3.2134335,10.771974,2
36,0.6912475,9.231793,8.656563,7
37,-0.18362033,-1.3741738,4.587518,1
38,2.4391208,3.3742528,10.067019,2
39,-0.8984566,-0.56303227,5.7225304,1
40,-0.6622027,-1.4335254,5.7486076,1
41,0.11315663,8.799263,8.334775,7
42,-0.34051505,11.514292,3.837377,4
43,2.814072,4.5066466,11.097293,2
44,4.99494,4.2719107,3.655027,3
45,4.600613,4.838358,2.1229086,5
46,0.13538295,-1.0300775,3.7150671,1
47,3.8173752,3.7629602,10.497406,2
48,-0.16521154,12.063136,3.8510435,4
49,0.24639398,12.888486,3.987925,4
50,7.3370385,5.430513,-1.3002508,6
51,5.563347,5.709878,3.9850228,3
52,4.1561174,4.670265,1.0018896,5
53,5.10112,5.7843947,2.9518337,5
54,10.114582,7.555088,-1.0248797,6
55,10.430945,5.8638763,8.213975,0
56,-0.10443658,12.755383,3.9359713,4
57,-1.8298645,-0.13952547,6.5268254,1
58,-0.278799,11.415956,6.3112607,9
59,3.2498,4.231906,0.1699285,5
60,1.2867756,10.565156,8.766701,7
61,0.6388553,4.7068143,3.4432118,8
62,0.2035453,11.427824,5.363791,9
63,5.090768,3.5041907,4.9104614,3
64,-1.1692264,8.149288,9.005098,7
65,0.000593343,11.11367,4.966742,4
66,9.750375,7.5364723,-1.3403518,6
67,-0.31670794,12.513919,3.802712,4
68,4.9215064,4.8900485,4.778815,3
69,11.109505,7.978247,9.707876,0
70,0.23689783,9.502771,9.34557,7
71,11.220723,7.460583,8.959036,0
72,4.984841,3.7960145,10.752907,2
73,-1.6850816,8.904271,7.236579,9
74,-0.53614765,-1.2049234,5.1573114,1
75,0.7618858,9.211035,8.14643,7
76,5.1445646,4.507649,4.1432304,3
77,0.07329438,8.56349,8.590146,2
78,-1.4797742,9.289407,6.5143986,9
79,-1.2274066,8.612046,9.004701,7
80,1.0376003,10.616731,8.05313,7
81,8.365433,6.3573165,-1.4247429,6
82,4.065745,3.468074,10.888401,2
83,0.9932061,10.36699,8.321553,7
84,2.6317744,5.8700604,4.025299,8
85,-0.2696692,12.341977,3.657666,4
86,-0.34103194,8.556301,8.708274,7
87,5.015666,5.348982,3.901463,3
88,9.282462,7.3188214,-1.3780239,6
89,-1.6485655,0.17437147,7.727582,1
90,5.378512,4.665552,4.778534,3
91,7.972506,6.31056,-1.5933841,6
92,-1.9784685,9.429348,6.7760158,9
93,5.173117,4.459146,4.5066996,3
94,-0.023010558,-0.80847853,4.26353,1
95,-0.79704076,11.159087,3.7871566,4
96,0.060189087,-1.2175194,3.5931044,1
97,0.41156515,8.207595,8.113349,7
98,7.614185,6.148,-1.0984014,6
99,0.68711853,12.336259,5.813902,9
100,9.37167,7.4146247,-1.1740857,6
101,11.418748,6.922265,8.664906,0
102,4.2482944,5.2478924,1.589481,5
103,0.21714206,12.793949,4.0219135,4
104,0.99719715,12.848758,5.3226337,9
105,0.44290325,12.0577345,6.0235224,9
106,5.009427,3.8474305,10.922039,2
107,-1.7125423,0.4412034,8.256062,1
108,0.7766189,11.197069,5.670916,9
109,-0.8495852,11.590655,4.0917225,4
110,1.7782581,4.45679,3.9327776,8
111,0.019750828,7.978191,8.103012,7
112,4.5446415,4.4314,4.4088163,3
113,0.3164338,11.575956,5.783064,9
114,0.73253226,8.602242,8.036958,7
115,-1.0354998,10.704875,5.4996305,4
116,-0.35932466,11.468039,4.4513507,4
117,0.18667711,13.065437,3.9171717,4
118,-0.7143533,11.032608,5.8842235,9
119,-0.74196017,8.094126,8.772901,2
