index,0,1,Digit
0,-0.03406369,0.5180946,7
1,2.6228466,-2.9633963,2
2,5.423589,0.33794132,1
3,-4.3986816,5.7117443,0
4,13.22119,7.637387,4
5,5.1400614,0.21767008,1
6,12.719561,8.281859,4
7,11.6988535,6.108105,9
8,7.3068547,8.989332,5
9,7.4864116,6.8547487,9
10,-5.60662,5.9314713,0
11,2.7916808,3.592591,6
12,9.32508,6.4977255,9
13,-4.967999,6.2133408,0
14,7.890509,-1.0870311,1
15,6.8428173,11.7578335,5
16,10.436754,5.748937,9
17,-0.3211729,0.23026372,7
18,7.1360574,12.284799,3
19,12.328714,7.7166705,4
20,7.4379206,6.588368,9
21,3.3999367,5.3880057,6
22,3.1336215,3.4837668,6
23,7.866477,9.52297,5
24,12.263291,6.996435,4
25,-5.860667,4.8629866,0
26,-0.6108986,-1.1005614,7
27,12.733694,7.7415056,4
28,-4.3761015,5.952432,0
29,8.702874,-2.0977292,1
30,8.787992,12.417375,3
31,9.059798,-1.69787,1
32,7.9451766,11.991503,3
33,2.1795375,4.495202,4
34,0.73157287,1.9319812,7
35,3.1506057,-5.1208634,2
36,0.361583,-0.13009062,7
37,8.156374,-2.1121008,1
38,2.8141227,-3.0172203,2
39,6.913761,-0.5968639,1
40,6.6555,-1.911922,1
41,0.64998484,0.53049463,7
42,12.320429,8.082555,4
43,4.112403,-3.0307043,2
44,8.34011,12.770791,3
45,7.851985,10.391339,5
46,9.35018,-1.5977799,1
47,3.6010377,-4.345997,2
48,12.680185,7.6359415,4
49,13.303208,7.0584726,4
50,2.7924302,6.7606764,6
51,7.3468943,12.3175,3
52,8.13801,9.385591,5
53,6.830478,11.498246,5
54,2.7396796,3.1378171,6
55,-3.9790385,5.8885536,0
56,13.343235,7.440653,4
57,5.5942845,-0.17564608,1
58,9.875355,6.011289,9
59,8.213277,8.213027,5
60,-0.81147915,-1.1063548,7
61,8.37309,3.2225244,8
62,10.809385,6.674545,9
63,9.593168,13.44735,3
64,0.16646525,2.0524817,7
65,11.037235,7.3459954,4
66,2.9389799,3.5997615,6
67,13.252164,7.612736,4
68,8.876979,12.350752,3
69,-6.7065268,5.075125,0
70,-0.51411945,0.20023486,7
71,-6.051962,5.8084164,0
72,4.154566,-5.2653823,2
73,6.4802756,6.80341,9
74,7.3492575,-1.7472323,1
75,0.7303313,-0.26650724,7
76,8.369213,12.99182,3
77,0.61607945,0.49431312,2
78,7.05306,6.652363,9
79,-0.29790178,1.8899978,7
80,-0.24813712,-1.1111735,7
81,2.9155452,5.3166776,6
82,3.359722,-4.797172,2
83,-0.28536895,-0.9807336,7
84,6.5467887,4.8993125,8
85,13.160212,7.705327,4
86,0.4265598,1.1159886,7
87,7.8235373,12.000984,3
88,3.1680272,4.0388575,6
89,5.590453,0.9002066,1
90,8.872594,12.874394,3
91,2.9945633,5.6351523,6
92,6.816248,7.1046824,9
93,8.874116,12.811439,3
94,8.780103,-1.1773311,1
95,12.132421,8.494221,4
96,9.400177,-1.7077677,1
97,1.4026147,0.5526737,7
98,3.343528,6.0048122,6
99,11.329755,5.685429,9
100,3.1209981,3.9083736,6
101,-5.4964004,6.0756793,0
102,7.524142,9.878218,5
103,13.2245655,7.056183,4
104,12.174553,5.671192,9
105,10.943567,5.769703,9
106,4.262784,-5.3258343,2
107,0.013853943,8.124162,1
108,10.912057,6.615977,9
109,12.430661,8.39505,4
110,7.0271153,3.2410302,8
111,1.4310191,0.8869088,7
112,9.030169,12.266536,3
113,10.682231,6.2328057,9
114,1.3005661,-0.008606685,7
115,9.281338,7.061006,4
116,11.879464,7.83779,4
117,13.505176,7.039094,4
118,9.49767,6.6378818,9
119,0.5423638,1.7159469,2
120,7.1791067,10.2576275,5
121,12.760167,9.4396715,4
122,0.4558938,-0.8165589,7
123,2.877567,5.1666656,6
124,-0.9592022,0.32221192,7
125,11.086911,6.4277396,9
126,-6.365009,6.162025,0
127,7.6555943,9.025781,5
128,7.073011,4.5422564,8
129,7.786277,9.361224,5
130,2.3398156,5.75548,6
131,2.0775077,5.9689574,6
132,7.3050737,10.545087,5
133,0.7502466,-0.10797084,7
134,7.2741146,3.63197,8
135,7.1152363,-0.69017905,1
136,-4.2119884,6.0862207,0
137,0.44917172,8.014729,1
138,2.9259129,4.1083074,6
139,12.980888,9.517304,4
140,3.2650995,6.354703,6
141,-0.609255,-1.1581054,7
142,8.429481,12.073984,3
143,5.767308,-1.1162562,1
144,0.63004565,1.3711227,7
145,8.753173,-2.1304753,1
146,7.489333,4.4549365,8
147,3.5945325,-5.4454193,2
148,-4.2973566,5.796797,0
149,4.197242,-3.3289495,2
150,10.748831,5.8819823,9
151,6.3217382,11.105911,9
152,8.160537,8.590881,5
153,7.426638,10.430131,5
154,7.820942,-1.453429,1
155,8.339693,9.730553,5
156,3.2743464,3.984273,6
157,-4.236438,6.1682262,0
158,7.3868937,12.781804,3
159,11.025816,7.721876,4
160,11.866479,7.6587205,4
161,1.9653472,5.9889884,6
162,7.4792495,9.826148,5
163,13.243614,7.1619244,4
164,3.3767552,4.0452957,6
165,6.8768296,11.183146,5
166,11.73526,7.7670665,4
167,9.315308,8.320165,5
168,8.303842,-1.7605792,1
169,11.93312,7.5857253,4
170,12.048653,7.2836227,4
171,0.6250709,2.2348957,7
172,1.9870518,-3.7358646,2
173,7.320314,12.248388,3
174,3.17487,-4.1509333,2
175,1.6198658,0.48196492,7
176,6.6575646,-1.9080672,1
177,6.405984,4.526322,8
178,7.103911,-0.8028539,1
179,6.6419015,4.2343054,8
180,7.2108755,-1.2920725,1
181,6.31111,4.50806,8
182,7.6454444,9.01078,5
183,-6.102588,5.3867607,0
184,6.487652,3.9497266,8
185,9.69409,6.239969,9
186,2.3570783,-3.5141277,2
187,6.9468627,10.782137,5
188,-5.3917475,5.0844855,0
189,9.239611,-1.7149928,1
190,5.3417406,0.60070646,1
191,9.449758,-1.7042707,1
192,-4.915507,3.995392,0
193,11.410014,6.429102,9
194,-4.826347,5.7327332,0
195,8.95621,-2.1125982,3
196,7.4794774,-1.3741828,1
197,2.4667816,6.785603,6
198,12.248377,8.010033,4
199,3.041034,-4.57879,2
200,8.139163,13.728134,3
201,2.4535997,3.735987,6
202,-0.32308522,8.265689,1
203,7.9419827,-1.7816362,1
204,5.4595847,0.3371595,1
205,8.340583,12.189863,3
206,9.7499075,6.718253,9
207,6.985278,11.331059,5
208,3.624076,-4.5423684,2
209,11.804972,6.00835,9
210,13.330348,7.6069303,4
211,7.908829,8.455261,5
212,12.116807,5.812686,9
213,9.471369,12.472251,3
214,10.355042,6.2812314,9
215,-4.0828137,5.488244,0
216,9.259175,12.860495,3
217,2.4202638,7.4129534,6
218,8.08142,8.513432,5
219,8.419054,10.180531,5
220,-0.23386368,-0.95914054,7
221,4.11914,-4.3824873,2
222,3.99266,-4.456469,2
223,0.21181385,1.4407715,7
224,4.989094,0.67847997,1
225,2.2200708,-4.162161,2
226,6.6057916,4.790438,8
227,11.536821,8.137064,4
228,0.2839522,7.500898,1
229,0.85953265,0.252495,7
230,8.155805,13.043346,3
231,9.121124,13.136563,3
232,6.486591,4.7225876,8
233,7.466134,4.8623466,8
234,1.1627603,-0.037254184,7
235,10.926461,5.7889767,9
236,2.9983382,-3.6567786,2
237,3.314982,-4.1679177,2
238,12.4289875,8.067757,4
239,8.0458145,-1.4156176,1
240,7.4439244,10.5062685,5
241,8.083818,11.4667015,9
242,8.451165,3.4441671,8
243,1.0717802,-0.49371803,7
244,3.713974,-3.399862,2
245,7.0832806,12.294783,3
246,-6.421195,6.214958,0
247,2.3968997,6.7659755,4
248,13.025506,7.8541203,4
249,2.3955362,-3.6573515,2
250,12.062941,7.3084407,4
251,8.585507,-2.0583422,1
252,10.876911,6.3307056,9
253,7.8829117,10.269701,5
254,0.2078341,-0.55443764,7
255,1.0457399,-0.23325266,7
256,2.3906531,-3.6964698,2
257,6.1107373,4.151261,8
258,3.8052785,-4.7134976,2
259,3.0951571,3.6161993,6
260,8.116242,3.5509608,8
261,8.438965,8.887281,5
262,-0.20598514,-0.90859216,7
263,0.8153251,0.059647337,7
264,11.400423,6.8027134,9
265,8.013156,-1.1194063,1
266,6.7352233,4.1634755,8
267,7.7701716,-0.734464,1
268,6.71928,10.910843,8
269,-6.6520934,4.999314,0
270,7.61279,12.002739,3
271,-4.483838,5.8163424,0
272,7.6840615,-1.54828,1
273,9.4191675,6.0762453,9
