index,0,1,Digit
0,-4.442192,9.658187,7
1,2.3460562,0.019756703,2
2,-2.1433768,-0.31966895,1
3,14.039496,7.5453076,0
4,-0.081991576,14.82005,4
5,-2.099625,-0.1250765,1
6,-0.89527327,14.508463,4
7,0.88111997,13.078317,9
8,5.224874,8.826174,5
9,-0.94079536,9.824443,9
10,14.10523,8.721666,0
11,11.699975,5.0937095,6
12,-0.45578563,11.219011,9
13,13.651357,8.22038,0
14,-2.15666,-3.1217804,1
15,5.5797668,6.468477,5
16,0.6804165,11.825601,9
17,-4.8312955,10.013267,7
18,5.2783766,6.1320205,3
19,-0.44919732,14.05703,4
20,-1.4784571,10.098653,9
21,10.393421,3.7464733,6
22,11.423825,5.2599654,6
23,6.118052,8.801541,5
24,0.14491446,13.828767,4
25,15.314439,8.629429,0
26,-4.8907304,11.520752,7
27,-0.34329522,14.365679,4
28,13.726778,7.5270095,0
29,-3.0267153,-4.001673,1
30,4.891317,4.834328,3
31,-2.440471,-4.487719,1
32,4.6562595,5.800079,3
33,11.623808,4.422622,4
34,-3.3547857,8.195767,7
35,4.0520105,-1.6697079,2
36,-4.011379,10.463096,7
37,-3.0122533,-3.511542,1
38,2.4257777,-0.14436169,2
39,-2.4121718,-2.1049576,1
40,-3.1722963,-2.5047867,1
41,-3.7245305,9.783632,7
42,-0.82534444,14.134591,4
43,3.8417501,0.061024923,2
44,5.672199,5.0631375,3
45,6.134541,7.7026777,5
46,-2.8704689,-4.563817,1
47,3.296142,-1.5862715,2
48,-0.33035916,14.36056,4
49,0.5051161,14.787149,4
50,10.1320505,2.304272,6
51,5.2388244,5.954206,3
52,5.6901145,9.029194,5
53,5.3764434,6.7371407,5
54,11.899163,5.376293,6
55,13.610629,7.1820984,0
56,0.14400353,14.938329,4
57,-1.890325,-0.7501251,1
58,0.18907721,11.416346,9
59,5.4848495,10.447305,5
60,-5.109431,11.485204,7
61,0.2951426,5.7540174,8
62,-0.03328926,12.469851,9
63,5.1521397,3.4591627,3
64,-3.920568,8.133605,7
65,-0.6141032,12.890719,4
66,11.532878,5.101051,6
67,-0.12135477,14.90014,4
68,4.5320005,4.9345737,3
69,15.241443,9.458895,0
70,-4.9002886,10.018825,7
71,14.387748,9.04459,0
72,4.3851457,-2.228161,2
73,-2.0004523,9.064312,9
74,-2.918799,-2.8599343,1
75,-3.7040973,10.628704,7
76,5.332327,4.9464097,3
77,-3.6904674,9.5225525,2
78,-1.8104769,9.923644,9
79,-4.2753143,8.245415,7
80,-4.4819736,11.645686,7
81,10.809384,3.5074804,6
82,3.7563903,-1.5297241,2
83,-4.5520406,11.419278,7
84,2.6464202,6.6694217,8
85,-0.22373539,14.792199,4
86,-3.8523564,9.18769,7
87,5.0632486,5.8842807,3
88,11.175366,4.738497,6
89,-2.8756783,0.15535837,1
90,4.8896422,4.591293,3
91,10.512658,3.2372346,6
92,-1.5723808,9.385995,9
93,4.982352,4.6248803,3
94,-2.8081841,-3.8476667,1
95,-1.2768862,14.058574,4
96,-2.8222058,-4.609429,1
97,-3.020068,9.636933,7
98,10.007337,3.1488822,6
99,1.100795,12.5385685,9
100,11.2882395,4.9103327,6
101,13.968426,8.637216,0
102,5.5661025,8.254002,5
103,0.46716356,14.770638,4
104,1.5332786,13.2226515,9
105,0.8212562,12.167578,9
106,4.43817,-2.2615106,2
107,-3.1314223,0.71358764,1
108,0.043985814,12.572203,9
109,-1.1210834,14.225812,4
110,1.5345596,5.0193143,8
111,-2.9022396,9.401262,7
112,4.440475,4.706138,3
113,0.3528032,12.160538,9
114,-3.1925538,10.370763,7
115,-0.9278953,11.479876,4
116,-0.78015274,13.644747,4
117,0.5441496,15.006059,4
118,-0.4243019,11.457248,9
119,-3.4759097,8.451842,2
120,5.319066,7.7846913,5
121,-1.9822952,14.70276,4
122,-3.891829,11.226422,7
123,10.875612,3.685821,6
124,-5.1525097,9.991909,7
125,0.34771013,12.54401,9
126,14.107831,9.467193,0
127,5.887984,9.239799,5
128,1.9346554,6.5580063,8
129,5.9171567,8.994945,5
130,11.029613,2.8474846,6
131,11.088792,2.4087496,6
132,5.7482176,7.400236,5
133,-3.7035086,10.371239,7
134,1.3669746,5.7356486,8
135,-2.3853776,-2.2968624,1
136,13.541888,7.501763,0
137,-3.449785,0.22202255,1
138,11.391031,4.5517516,6
139,-2.0275404,15.003402,4
140,9.910507,2.7632353,6
141,-4.896681,11.5869,7
142,4.329814,5.406657,3
143,-3.1587493,-1.4761672,1
144,-3.5605578,8.885706,7
145,-3.0576277,-4.0232024,1
146,1.4179543,6.608784,8
147,4.455212,-1.5803294,2
148,13.868148,7.4337716,0
149,3.8859417,-0.13245963,2
150,0.6307874,12.092721,9
151,4.0008435,6.6254315,9
152,5.677504,10.013532,5
153,5.7342033,7.706817,5
154,-1.6383628,-3.37097,1
155,5.9876256,8.713641,5
156,11.097991,4.888757,6
157,13.425224,7.6092625,0
158,6.0880876,5.7392135,3
159,-0.96908534,12.881813,4
160,-0.74931484,13.503456,4
161,11.17257,2.413621,6
162,5.5577536,8.309331,5
163,0.38724652,14.812419,4
164,10.949066,4.7729917,6
165,5.454498,6.8670893,5
166,-0.7274779,13.590732,4
167,4.4477324,10.370235,5
168,-2.6085005,-3.740337,1
