index,0,1,Digit
0,-5.401036,9.742067,7
1,0.45538795,-0.104945354,2
2,-4.363083,-0.7490341,1
3,14.203826,5.309327,0
4,1.1862694,15.219825,4
5,-4.453073,-0.4038385,1
6,-0.44081175,14.711993,4
7,2.1504605,12.9401245,9
8,5.1180406,10.123288,5
9,-1.4172748,8.1712475,9
10,14.616149,7.3688335,0
11,11.648782,8.56049,6
12,-0.29943708,10.457066,9
13,13.776027,6.7085395,0
14,-1.3696746,-3.7255287,1
15,7.5098433,6.4508924,5
16,1.7176552,11.087659,9
17,-5.7783046,10.470841,7
18,6.7372813,6.032446,3
19,0.1599869,13.98898,4
20,-2.0851562,8.501408,9
21,9.1754,6.273568,6
22,10.88148,9.144941,6
23,4.844658,8.988882,5
24,1.1727914,13.404374,4
25,16.457483,6.615241,0
26,-5.044733,12.815493,7
27,0.6064789,14.654498,4
28,13.690153,5.466778,0
29,0.5885795,-4.409393,1
30,4.674075,4.5492086,3
31,0.519651,-5.356641,1
32,5.001545,6.0536165,3
33,12.122671,7.2527213,4
34,-4.3382134,6.8078957,7
35,3.8805547,-1.5070955,2
36,-4.427483,10.783818,7
37,-0.113185875,-3.8021953,1
38,0.5872122,-0.17506453,2
39,-1.9117316,-2.217158,1
40,-0.8097385,-2.2918339,1
41,-4.055111,9.661012,7
42,-0.25680593,14.22237,4
43,2.1708887,1.652508,2
44,5.6872315,4.6985335,3
45,5.553555,7.39071,5
46,1.4619474,-3.9608743,1
47,3.0465395,-0.39644048,2
48,0.5358613,14.657709,4
49,1.9813477,15.182787,4
50,9.566797,3.7071798,6
51,6.402372,5.63409,3
52,4.62597,9.303879,5
53,7.156386,6.8817253,5
54,12.083854,9.301368,6
55,13.177748,4.8459888,0
56,1.331466,15.482396,4
57,-4.1894326,-1.3245287,1
58,1.0581651,10.538036,9
59,2.506275,10.13788,5
60,-5.1898327,12.908505,7
61,-0.7987108,4.499898,8
62,0.47901535,12.174966,9
63,4.2198434,2.0174153,3
64,-5.611846,6.8432117,7
65,-0.2030646,12.411211,4
66,11.296584,8.868409,6
67,0.9253657,15.471052,4
68,4.2804947,4.6377745,3
69,16.660402,8.316316,0
70,-6.0628333,10.504872,7
71,15.031737,7.83084,0
72,5.357859,-0.1774696,2
73,-3.1311162,6.6275516,9
74,-0.88047236,-3.0124028,1
75,-3.735958,10.813818,7
76,5.3688307,4.5671034,3
77,-3.9587438,9.108127,2
78,-2.5313632,8.392249,9
79,-5.9412065,7.5420723,7
80,-3.5055432,12.597364,7
81,10.278336,5.8791175,6
82,3.5147622,-1.3672528,2
83,-4.0818763,12.41377,7
84,2.2140172,6.566566,8
85,0.830167,15.250469,4
86,-4.575026,8.527052,7
87,5.489511,6.197701,3
88,10.297079,8.206664,6
89,-3.728998,0.4044466,1
90,5.063526,4.0600705,3
91,9.784776,5.3760614,6
92,-2.2621875,7.5197077,9
93,4.964243,4.27248,3
94,0.6462871,-3.33911,1
95,-1.0088325,14.108076,4
96,1.4214427,-4.6763835,1
97,-3.2283335,8.968367,7
98,9.342774,5.2852893,6
99,2.378463,12.141312,9
100,10.584951,8.428881,6
101,14.383945,7.208691,0
102,5.4898806,9.080696,5
103,1.9065179,15.1458845,4
104,3.3021774,13.401728,9
105,1.9792297,11.379778,9
106,5.700379,-0.43266642,2
107,-3.954636,1.5758417,1
108,0.57375675,12.086075,9
109,-0.7231646,14.1629095,4
110,1.3254155,3.494879,8
111,-3.160215,8.299019,7
112,4.0060306,4.423648,3
113,0.90817225,11.618144,9
114,-3.0575075,9.860423,7
115,-1.2143378,11.372167,4
116,-0.31729585,13.321152,4
117,2.066315,15.68369,4
118,-0.41713077,10.84216,9
119,-3.940027,7.196523,2
120,6.474604,8.614465,5
121,-1.9795823,15.05938,4
122,-3.5022793,11.873186,7
123,10.330133,6.131933,6
124,-6.0852976,10.448607,7
125,1.2190019,12.264807,9
126,14.680477,8.888735,0
127,4.6842885,10.054743,5
128,1.3962742,6.167175,8
129,4.800772,9.487142,5
130,10.902428,4.8671913,6
131,10.999033,4.2263246,6
132,6.4314775,7.7818775,5
133,-3.9615672,10.339268,7
134,0.6895932,4.6823173,8
135,-1.8081776,-2.529933,1
136,13.218642,5.5381656,0
137,-2.3683414,1.3757175,1
138,10.795755,7.948039,6
139,-1.8795469,15.653806,4
140,8.867637,4.515908,6
141,-4.7875915,13.030054,7
142,4.50316,5.5719094,3
143,-1.6957203,-1.1421144,1
144,-4.439617,8.121511,7
145,0.5982374,-4.7027483,1
146,0.48067987,6.3861747,8
147,4.8307843,-1.8318894,2
148,13.780474,5.2644606,0
149,2.7196815,1.4140162,2
150,1.5004567,11.757172,9
151,4.798591,6.946675,9
152,3.4485347,10.016732,5
153,5.704127,7.823413,5
154,-1.8968554,-4.8697276,1
155,4.713758,8.404829,5
156,9.986007,8.563556,6
