index,0,1,Digit
0,-7.5213914,10.739769,7
1,-0.9608239,-0.47310024,2
2,-6.4985127,-2.4014277,1
3,15.7996435,5.922972,0
4,2.3382654,16.983086,4
5,-6.0544515,-1.5844322,1
6,-0.5195592,17.030098,4
7,3.8996048,13.548942,9
8,4.599943,11.215754,5
9,-2.4392488,8.130004,9
10,15.246049,8.909578,0
11,12.359193,9.016735,6
12,-0.67293197,11.433125,9
13,14.736234,7.5715218,0
14,-1.6031011,-5.8581266,1
15,8.900492,6.9358425,5
16,1.8558062,12.064815,9
17,-7.8783364,11.666018,7
18,8.195706,6.5113707,3
19,0.5540335,15.826089,4
20,-3.231875,9.127791,9
21,9.862662,5.3559475,6
22,10.8681965,9.633418,6
23,5.012242,9.683046,5
24,2.197687,14.999413,4
25,18.23463,8.293364,0
26,-5.566487,15.174606,7
27,1.3783064,16.561655,4
28,14.916465,5.6373067,0
29,1.9556599,-6.759873,1
30,5.171735,4.455519,3
31,1.9222618,-7.807737,1
32,5.7036605,6.14313,3
33,12.868246,7.5271764,4
34,-5.4655075,6.0687184,7
35,4.6741047,-1.0153587,2
36,-6.072875,11.894573,7
37,0.60737103,-5.575089,1
38,-0.42671993,-0.6418148,2
39,-2.2477226,-3.7796707,1
40,-0.80990577,-4.393606,1
41,-5.035222,10.023132,7
42,-0.03947533,16.426401,4
43,1.8585591,0.83729,2
44,5.88738,4.2431507,3
45,5.9656057,7.230261,5
46,2.5494325,-5.5849752,1
47,2.1548724,-3.268973,2
48,1.3916049,16.904222,4
49,3.892861,17.64001,4
50,10.20086,1.1276996,6
51,7.6374497,5.8345165,3
52,4.6516085,10.412062,5
53,8.441074,7.4653554,5
54,12.234546,10.59545,6
55,14.585127,4.445933,0
56,2.82316,18.100622,4
57,-5.6541257,-3.3012395,1
58,1.4187374,11.651044,9
59,1.3332849,10.126644,5
60,-6.3742967,14.845495,7
61,-1.8880525,4.150739,8
62,1.0056086,13.409335,9
63,3.391226,0.840397,3
64,-7.5116515,6.197286,7
65,-0.10325789,14.001287,4
66,11.933231,9.247687,6
67,1.8961847,17.761875,4
68,4.276776,4.574157,3
69,17.35532,11.526477,0
70,-8.603884,11.71162,7
71,15.852106,9.408327,0
72,5.522298,-2.5373607,2
73,-4.186723,6.0938463,9
74,-0.876143,-4.7011876,1
75,-4.6610484,11.87489,7
76,6.0300903,4.2194023,3
77,-5.654099,9.594121,2
78,-3.4192867,8.674287,9
79,-8.303803,7.7058363,7
80,-3.2342677,14.173546,7
81,11.742937,4.6076236,6
82,3.7716599,-2.2779875,2
83,-4.533103,14.21974,7
84,2.099693,7.0146995,8
85,2.0463371,17.77775,4
86,-6.4526677,8.674816,7
