index,0,1,Digit
0,0.83344936,8.006024,7
1,-4.1320853,-2.8238208,2
2,0.9953266,-6.8629465,1
3,13.134899,3.1596613,0
4,8.948296,1.4698598,4
5,3.9833946,-3.9909375,1
6,-4.77188,5.298966,4
7,15.8245735,6.360886,9
8,10.971554,-9.7579775,5
9,-2.8989735,0.63525,9
10,9.145356,0.9174956,0
11,5.515791,8.847812,6
12,7.4461412,-3.435838,9
13,3.2915716,5.049521,0
14,-1.4115629,-3.542984,1
15,2.1816833,-8.454391,5
16,-3.8687735,-7.2155786,9
17,8.193371,7.2907715,7
18,-0.91407144,5.1607695,3
19,3.4209292,-3.284417,4
20,-0.5250539,-3.9272318,9
21,9.074968,-6.440421,6
22,13.488158,-6.612725,6
23,3.4137185,-11.660687,5
24,7.1743855,9.032994,4
25,17.135746,-0.5122488,0
26,2.0516067,2.5068505,7
27,9.547664,-0.501844,4
28,14.304212,1.5094163,0
29,11.000021,7.609117,1
30,5.5460925,-10.162051,3
31,11.269991,0.5429603,1
32,6.5639763,2.0492609,3
33,7.7772913,2.6304288,4
34,16.819115,1.1554052,7
35,17.501291,2.7082045,2
36,-5.998726,3.250494,7
37,5.9355664,10.296484,1
38,11.570588,-7.867853,2
39,14.86441,-0.9221452,1
40,9.934335,5.7298207,1
41,6.8247795,-1.8464361,7
42,11.115665,6.180239,4
43,13.384533,-3.113737,2
44,3.0332682,-2.208263,3
45,1.3221868,-3.2666867,5
46,6.0236397,-9.494434,1
47,17.00666,-5.2542152,2
48,0.17880979,-3.5687988,4
49,6.5754066,4.487964,4
50,13.090097,7.249506,6
51,12.655488,-3.0913038,3
52,-3.2914834,6.717923,5
53,7.890913,10.761924,5
54,8.298733,12.239186,6
55,5.667935,-5.110949,0
56,3.901403,6.443522,4
57,1.4217138,1.5585005,1
58,-4.007763,6.7262583,9
59,6.8778114,-10.313321,5
60,2.9668014,4.74257,7
61,16.521652,-5.114383,8
62,8.284026,10.923934,9
63,5.5218673,-2.4782252,3
64,-3.605155,-2.393558,7
65,5.577791,-9.447009,4
66,10.507346,-6.1037645,6
67,1.5890809,9.409348,4
68,9.688784,2.966867,3
69,14.06014,2.0746038,0
70,-0.89847225,3.835535,7
71,16.253311,-2.5392382,0
72,11.973461,1.7168088,2
73,-0.09613252,5.040668,9
74,12.5041895,5.40264,1
75,-3.7789097,-3.2657433,7
76,-0.63886887,-2.7202456,3
77,1.8219001,5.862706,2
78,1.7575947,1.6237755,9
79,1.5256914,-6.010964,7
80,7.293358,9.880303,7
81,14.380446,-0.72079563,6
