index,0,1,Digit
0,17.912107,22.01712,7
1,-11.105791,35.751358,2
2,6.8868713,30.326195,1
3,-34.7668,5.2228484,0
4,46.382957,-17.79278,4
5,9.560764,32.58323,1
6,49.95888,-9.119885,4
7,22.21188,-17.056017,9
8,0.8037111,-29.113571,5
9,40.256134,17.075846,9
10,-42.37947,-1.4901185,0
11,-25.183691,-35.947826,6
12,30.72407,3.88718,9
13,-38.603092,-6.617683,0
14,15.929407,-25.90002,1
15,-23.581842,-24.747053,5
16,29.55869,-10.312331,9
17,18.990326,17.433426,7
18,-27.096363,-19.614164,3
19,41.968277,-11.083146,4
20,31.817656,17.915377,9
21,-5.7932906,-33.810196,6
22,-25.1012,-37.45535,6
23,-1.8547816,-21.717777,5
24,36.093117,-15.906241,4
25,-52.388527,5.4456944,0
26,15.405637,6.8687468,7
27,44.487194,-17.673002,4
28,-34.67907,3.2275097,0
29,19.421104,-34.70392,1
30,-14.508379,-11.46764,3
31,24.286673,-30.041502,1
32,-19.796007,-16.70676,3
33,-32.43634,-32.85253,4
34,20.358072,35.936424,7
35,-31.64722,29.694044,2
36,15.465113,18.332628,7
37,17.532064,-34.00731,1
38,-10.143269,39.634537,2
39,10.602679,-19.930601,1
40,12.151153,-33.644398,1
41,18.534466,25.062109,7
42,41.828823,-9.436818,4
43,-18.369116,44.407467,2
44,-23.654102,-8.511382,3
45,-9.7931385,-22.746635,5
46,24.549356,-33.985943,1
47,-22.12183,24.401865,2
48,42.39851,-14.026942,4
49,41.176888,-23.14396,4
50,2.1617634,-38.240112,6
51,-25.609549,-18.813995,3
52,-3.258429,-18.604736,5
53,-21.726963,-25.099825,5
54,-28.445349,-36.617775,6
55,-33.200397,4.0096292,0
56,47.52071,-16.993608,4
57,6.9374213,27.058224,1
58,32.36918,0.11648196,9
59,-8.008513,11.728609,5
60,13.401645,2.9074545,7
61,0.6679235,14.4828005,8
62,28.786854,-7.664702,9
63,-23.89871,11.601108,3
64,23.962252,33.909042,7
65,31.690853,-4.9821696,4
66,-24.812006,-36.801464,6
67,46.272026,-15.910713,4
68,-15.664659,-6.5116086,3
69,-54.08094,-2.8674686,0
70,19.917639,17.29091,7
71,-47.37118,-5.8373575,0
72,-35.15168,21.77263,2
73,37.665703,23.51597,9
74,13.404929,-30.597025,1
75,7.4919586,15.998718,7
76,-25.864456,-9.292104,3
77,11.649823,27.879599,2
78,33.451412,20.57838,9
79,27.638683,32.552692,7
80,18.824392,4.283978,7
81,-11.339746,-40.46159,6
82,-24.679134,28.057371,2
83,17.934753,6.322457,7
84,6.401129,-9.089482,8
85,47.67806,-13.698383,4
86,21.564585,27.808245,7
87,-18.968176,-17.220457,3
88,-20.240845,-39.43314,6
89,3.1678762,33.110752,1
90,-18.748001,-4.022346,3
91,-6.0401244,-40.223747,6
92,39.771038,20.862934,9
93,-15.328583,-1.3089372,3
94,22.145353,-33.314266,1
95,43.885124,-4.0789847,4
96,25.101402,-33.311398,1
97,12.457325,29.824493,7
98,-0.84687203,-32.840103,6
99,26.673218,-15.723505,9
100,-22.31482,-36.35625,6
101,-42.201267,-6.747457,0
102,-5.6200633,-25.256432,5
103,42.322292,-22.345215,4
104,27.284485,-21.215229,9
105,27.21154,-12.89128,9
106,-34.05236,22.368109,2
107,6.0392537,35.986637,1
108,20.35784,-8.34122,9
109,45.432484,-8.63765,4
110,-4.2531147,2.0633788,8
111,13.3577585,28.547602,7
112,-12.124647,-7.89366,3
113,27.335316,-6.662607,9
114,8.064066,19.043926,7
115,33.102085,6.524571,4
116,37.851402,-9.454098,4
117,41.355656,-25.708601,4
118,34.331905,5.4347935,9
119,15.590645,37.962086,2
120,-11.223322,-29.602673,5
