index,0,1,2,Digit
0,-10.236615,-3.0151312,0.2026126,5
1,-9.42049,-11.246254,1.2056766,0
2,-9.75059,15.241619,15.493067,4
3,1.0217403,15.339365,1.0555973,1
4,-3.4018312,2.8305514,7.1625276,9
5,19.878614,-4.7646556,1.6967983,2
6,5.646078,3.7010534,-17.064932,1
7,6.6543965,-6.714834,-14.102791,3
8,12.175012,5.525719,-14.799163,1
9,-8.636539,11.974171,1.6833438,4
10,1.1433696,-7.3518124,-7.14784,3
11,-13.900212,0.8132803,9.669459,5
12,-4.799602,-4.8941603,-17.879194,3
13,6.574998,-15.19949,10.133686,6
14,8.551207,9.96263,-18.524616,1
15,6.7657423,-0.80091643,4.1325207,7
16,15.896216,-8.033707,-4.796584,2
17,-6.34029,16.225512,-8.960895,8
18,2.10606,-9.591279,2.4211748,6
19,1.4622616,5.5911946,-0.19136986,9
20,-8.516368,13.446518,19.224442,4
21,-10.462515,-11.818757,2.8374736,0
22,-2.279764,7.417516,1.6664455,9
23,1.0604959,15.445028,0.97258306,1
24,5.286877,5.5593185,-6.262063,1
25,12.490125,-2.0318289,-11.471204,2
26,-0.6075729,12.783564,8.472775,4
27,1.5300801,-5.577948,-21.020966,3
28,13.299946,2.754894,-0.047792803,2
29,4.832235,-0.6535099,0.29505178,7
30,-8.986506,-5.0406694,-17.146307,3
31,-9.171911,17.017977,-9.322054,8
32,8.689322,-11.729871,5.647461,6
33,2.4524028,5.133591,-0.8691235,9
34,-4.3295054,-7.4633946,2.9016888,0
35,-13.026101,-2.122247,8.174968,5
36,1.8982455,-9.470989,6.8953056,6
37,-6.0734024,-8.412086,3.0990303,0
38,8.962005,12.109025,10.626767,7
39,6.384574,-12.664367,9.1297035,6
40,13.326912,8.423088,-9.485379,1
41,-6.7314153,11.505739,-11.04071,8
42,8.38465,7.7596164,9.823033,7
43,2.243787,4.951635,1.3871474,9
44,-1.1861554,0.6450645,-13.123601,3
45,-2.329873,1.6277641,6.822384,9
46,-5.278805,6.2364855,-7.305011,8
47,-14.8169985,1.1027757,3.7408342,5
48,-1.7019538,1.4873242,-10.853532,9
49,3.784435,-5.823685,-14.082744,3
50,-3.1504333,-10.015963,-9.215334,3
51,-11.1281805,-15.635096,-5.2496,0
52,13.110822,1.0244288,13.677507,7
53,-1.6909288,11.076112,1.340391,4
54,-0.4747459,-0.8100649,6.762172,9
55,-8.053659,10.675422,-6.248955,8
56,-8.606727,-18.70221,-6.1947074,0
57,-1.7049417,5.0418205,0.58537126,9
58,-2.036138,15.989578,15.76255,4
59,3.3358376,18.806564,-1.607156,1
60,-11.716802,11.723288,18.202894,4
61,-5.105836,12.244877,-0.6532874,4
62,-0.28507492,-8.945146,5.88817,6
63,-13.73114,-11.027133,-0.5166577,0
64,-11.250412,10.850519,11.850797,4
65,-14.85457,1.3109016,9.825338,5
66,1.7386547,-11.295578,8.16973,6
67,11.339059,16.652477,-7.028962,1
68,-8.555322,-22.147831,-2.6366265,0
69,-1.8266572,-11.579377,0.7391779,0
70,5.5013494,3.3958957,-7.166754,1
71,5.3283362,-1.044586,2.6998553,7
72,8.722257,11.718858,-15.7466,1
73,3.4613824,-11.395957,7.5616164,6
74,-1.9394255,-3.6345298,-13.227575,3
75,-7.533151,-8.223898,-0.98676676,0
76,13.408038,2.052989,-8.995448,2
77,3.1469383,12.212456,-1.8186612,1
78,3.0442991,14.482305,-4.384054,1
79,5.244782,-0.75214595,1.2879884,7
80,-1.8151757,-12.29081,-3.984514,9
