index,0,1,Digit
0,22.727837,10.395458,7
1,22.864761,-7.2365785,2
2,31.32791,-13.094874,1
3,-34.07526,-12.149766,0
4,-6.4105105,42.58025,4
5,32.873234,-14.554009,1
6,0.7830649,44.481415,4
7,-6.298026,17.612988,9
8,-6.3294964,-8.654732,5
9,24.236078,32.151943,9
10,-42.095764,-7.185188,0
11,-33.16138,32.926697,6
12,12.2648735,27.120422,9
13,-41.665146,-10.072013,0
14,27.337137,-30.868341,1
15,-22.68136,-21.511124,5
16,-1.794486,26.057535,9
17,18.738235,12.915979,7
18,-26.706287,-27.558575,3
19,-1.0193142,37.808784,4
20,21.86723,26.328905,9
21,-20.822432,24.013748,6
22,-33.96964,32.13375,6
23,-12.101917,-6.125376,5
24,-6.032615,32.97504,4
25,-37.177708,7.106036,0
26,6.908382,11.308681,7
27,-5.853274,40.917923,4
28,-36.467106,-12.729838,0
29,27.49744,-38.73873,1
30,-12.271249,-26.42552,3
31,22.354332,-36.303482,1
32,-24.717546,-30.535894,3
33,-22.493519,35.017353,4
34,34.813892,9.185938,7
35,2.833994,-3.1598067,2
36,18.718645,9.956833,7
37,32.47439,-35.45627,1
38,24.891598,-5.0405717,2
39,33.343174,-25.191586,1
40,38.042946,-29.969055,1
41,25.39951,9.831044,7
42,0.45230213,37.6512,4
43,16.96794,0.51084244,2
44,-13.147049,-26.927649,3
45,-16.738705,-8.154427,5
46,23.155151,-39.382614,1
47,10.6055975,-8.526902,2
48,-3.3153543,38.693462,4
49,-10.953846,39.115032,4
50,-19.151587,14.814179,6
51,-28.34747,-29.50974,3
52,-13.722191,-3.1920304,5
53,-22.347452,-19.516993,5
54,-37.27504,31.779028,6
55,-34.97814,-14.040589,0
56,-6.324324,43.628654,4
57,30.355793,-15.516413,1
58,8.911912,28.55696,9
59,-5.957271,1.3342988,5
60,6.0492268,9.646129,7
61,17.048788,-24.109228,8
62,0.63007,25.393196,9
63,15.545694,-18.220673,3
64,34.140213,12.525023,7
65,3.599352,28.05807,4
66,-33.57195,32.877914,6
67,-4.864832,42.543865,4
68,-20.160978,-39.07723,3
69,-42.303394,7.741608,0
70,18.794622,13.87221,7
71,-45.097664,0.2912508,0
72,0.12031637,-8.043952,2
73,29.381426,27.788877,9
74,34.91657,-30.312382,1
75,16.24112,4.291544,7
76,-13.967997,-29.386887,3
77,23.981625,-0.24135874,2
78,25.3547,25.284992,9
79,33.623516,15.960401,7
80,5.1186423,15.108671,7
81,-24.756723,23.53215,6
82,8.369756,-4.689155,2
83,6.630279,14.111276,7
84,-1.7326882,-17.58358,8
85,-2.8462737,43.369827,4
86,28.361233,11.337668,7
87,-23.697037,-29.576109,3
88,-28.99739,29.93596,6
89,35.295166,-12.857008,1
90,-15.678056,-41.440086,3
91,-21.64807,21.041477,6
92,27.208454,30.416128,9
93,-14.602973,-39.28886,3
94,29.142147,-35.049187,1
95,5.120376,38.980835,4
96,22.59787,-39.063248,1
97,28.370857,2.2547753,7
98,-14.340761,18.402794,6
99,-5.7810893,22.858654,9
100,-31.245535,31.493479,6
101,-43.542103,-5.7848253,0
102,-14.248027,-9.3984,5
103,-10.580242,39.34047,4
104,-9.937032,23.502626,9
105,-3.0658772,23.735535,9
106,0.78589725,-7.433012,2
107,35.0216,-8.520153,1
108,0.107749656,17.50929,9
109,1.3831443,40.81207,4
110,5.7801347,-33.722218,8
111,27.889156,3.313003,7
112,-7.813726,-29.154419,3
113,1.0877612,23.89661,9
114,18.895758,4.2116537,7
115,9.113602,33.558243,4
116,0.22185288,33.921738,4
117,-12.961476,40.032238,4
118,13.343095,30.15231,9
119,30.462456,0.045259785,2
120,-15.994104,-16.566515,5
121,11.404409,46.68493,4
122,12.921359,7.355881,7
123,-24.993427,22.662739,6
124,18.363976,18.140928,7
125,0.15443228,23.55488,9
126,-48.910168,-1.7893957,0
127,-9.262787,-4.612537,5
128,3.0473692,-18.834013,8
129,-11.7140465,-5.0623555,5
130,-27.807812,17.18822,6
131,-28.354609,13.06981,6
132,-20.268696,-14.4016075,5
133,20.320845,3.6672232,7
134,4.4391317,-25.360226,8
135,32.8386,-25.497007,1
136,-36.564106,-13.929821,0
137,40.209198,-13.088615,1
138,-31.402874,28.402351,6
139,12.839833,46.77695,4
140,-17.659945,17.248215,6
141,7.786662,9.567963,7
142,-24.861622,-38.939373,3
143,39.38418,-24.797504,1
144,31.194136,8.397014,7
145,27.627289,-39.448994,1
146,5.6292787,-19.636833,8
147,3.3403463,-2.6151462,2
148,-35.21766,-10.632368,0
149,28.781626,-4.1330614,2
150,-1.7457399,23.844624,9
151,-12.054219,-17.567974,9
152,-7.135175,0.1353856,5
153,-15.341545,-12.923844,5
154,23.387,-28.233585,1
