index,0,1,Digit
0,-24.690014,11.541478,7
1,-26.128315,35.498695,2
2,-39.21455,-16.746077,1
3,30.046085,2.4909585,0
4,21.150307,25.53196,4
5,-37.03243,-14.622406,1
6,21.027058,18.430756,4
7,3.6036499,36.7981,9
8,26.209764,-34.843258,5
9,-0.6353067,2.4429522,9
10,39.199375,9.496975,0
11,49.90363,-3.9852538,6
12,0.88363564,17.738209,9
13,40.060436,4.533275,0
14,-41.363667,3.876641,1
15,11.914322,-18.327208,5
16,5.597494,25.873348,9
17,-22.46867,16.370533,7
18,9.496004,-13.911834,3
19,14.766378,20.761026,4
20,-7.994698,5.91659,9
21,41.54376,-19.198706,6
22,49.26123,-2.5823367,6
23,19.908787,-35.78924,5
24,15.230405,26.457018,4
25,37.25461,22.373167,0
26,-18.212055,23.974993,7
27,15.738215,21.209318,4
28,32.48529,4.2445655,0
29,-49.543053,9.9396515,1
30,0.015944233,-24.555897,3
31,-45.84209,10.227803,1
32,6.4159617,-17.257458,3
33,38.17782,-1.8590707,4
34,-28.738064,1.8468349,7
35,-4.903176,51.33067,2
36,-26.162432,17.731358,7
37,-52.3935,4.58426,1
38,-27.010838,35.20723,2
39,-36.770176,-4.8028564,1
40,-51.923447,-6.0748334,1
41,-27.834007,12.900364,7
42,14.673574,15.241686,4
43,-18.335526,33.247417,2
44,1.777065,-28.023611,3
45,16.601133,-29.9409,5
46,-45.538452,13.946003,1
47,-15.281627,43.0175,2
48,16.69744,22.904854,4
49,20.743748,31.625055,4
50,36.394344,-23.291225,6
51,8.9790945,-13.222151,3
52,15.735719,-37.2746,5
53,14.598685,-18.746567,5
54,49.168686,0.8018369,6
55,30.084282,-0.11409364,0
56,21.264536,27.33586,4
57,-39.85384,-13.092955,1
58,2.8202264,16.78567,9
59,19.981884,-45.80518,5
60,-17.3579,24.597898,7
61,-27.706318,-10.491804,8
62,2.9399862,24.909435,9
63,-8.300515,-34.807983,3
64,-24.690756,2.959311,7
65,5.158639,20.250702,4
66,50.158825,-3.2676766,6
67,20.43933,24.675694,4
68,-3.1546044,-20.977514,3
69,44.031075,21.081564,0
70,-21.102186,15.157958,7
71,40.25569,12.414337,0
72,-4.0589237,38.687836,2
73,-8.270216,1.059483,9
74,-50.588726,-3.085968,1
75,-32.123924,21.122633,7
76,-1.067026,-25.003382,3
77,-27.74782,28.788147,2
78,-8.808605,4.613707,9
79,-21.825987,1.532106,7
80,-10.354238,23.072847,7
81,35.88259,-13.720163,6
82,-12.59632,45.842354,2
83,-11.956856,21.70568,7
84,-8.770351,-6.2345605,8
85,19.060488,27.031628,4
86,-26.504057,8.79831,7
87,7.3859715,-19.528343,3
88,46.492325,-8.196102,6
89,-35.499046,-17.47007,1
90,-6.4757347,-28.220419,3
91,38.580566,-16.700829,6
92,-4.042414,1.1212453,9
93,0.4177696,-24.698942,3
94,-41.13159,10.923969,1
95,13.190922,12.655758,4
96,-46.189495,13.706088,1
97,-35.526825,9.6975565,7
98,24.066755,-11.863414,6
99,5.2842655,32.382454,9
100,47.38567,-6.292406,6
101,41.50618,11.311977,0
102,20.273392,-30.547693,5
103,21.446907,31.807484,4
104,7.8177133,37.877083,9
105,5.676042,29.394413,9
106,-4.6241193,39.85501,2
107,-37.367844,-25.288677,1
108,-3.152432,29.27175,9
109,17.407022,15.619975,4
110,-16.736948,-19.809866,8
111,-34.202747,10.709628,7
112,-2.968451,-23.443216,3
113,2.2369003,25.075617,9
114,-33.63669,20.193216,7
115,-0.084627196,11.145067,4
116,13.65456,19.907675,4
117,21.637613,34.937717,4
118,1.6657628,11.237803,9
119,-36.08283,27.314394,2
120,19.485802,-17.64691,5
121,18.559404,-2.9549448,4
122,-27.026123,22.880589,7
123,40.693016,-14.096967,6
124,-17.139404,15.959489,7
125,2.3166006,26.15074,9
126,46.06336,13.516754,0
127,22.489597,-37.622147,5
128,-10.61774,-7.3401947,8
129,20.365784,-36.40862,5
130,31.015537,-14.826673,6
131,27.65641,-15.389184,6
132,18.380062,-20.68078,5
133,-36.217987,19.557964,7
134,-16.443949,-13.48606,8
135,-37.110344,-4.4469233,1
136,32.077206,0.29001772,0
137,-38.261883,-27.312786,1
138,44.27937,-6.9605913,6
139,16.438314,-1.3559844,4
140,39.322212,-25.731943,6
141,-20.395166,24.131931,7
142,1.0376636,-16.029486,3
143,-48.35082,-12.8072195,1
144,-33.12188,7.800007,7
145,-50.057568,9.654237,1
146,-15.254277,-5.9159083,8
147,-5.4362326,44.28471,2
148,31.172735,4.9896336,0
149,-14.532023,30.94954,2
150,4.177128,26.904867,9
151,5.1906986,-6.854053,9
