index,0,1,Digit
0,-7.0656986,-20.173254,7
1,-41.985096,10.220349,2
2,41.21799,-25.216255,1
3,9.275388,43.326893,0
4,31.016413,6.7582345,4
5,-27.187817,37.712757,1
6,22.42933,-31.730263,4
7,-17.269331,1.6463392,9
8,22.046074,-26.879265,5
9,48.617424,8.329365,9
10,-24.825144,-3.0675166,0
11,-11.712001,15.923273,6
12,-21.787,-15.770749,9
13,-9.579485,-44.61019,0
14,15.719234,-33.82483,1
15,30.088598,28.400331,5
16,-26.233349,22.578846,9
17,-1.9279326,8.968974,7
18,-0.826401,-35.441788,3
19,33.453552,21.600348,4
20,36.626225,-25.080452,9
21,-43.737453,11.038065,6
22,35.288273,17.351433,6
23,9.221775,43.344532,5
24,8.456602,-15.344145,4
25,-15.410428,30.993048,0
26,40.21305,-4.7582293,7
27,-19.328932,-2.5599346,4
28,18.186594,35.6437,0
29,28.591513,38.234177,1
30,-25.43568,-20.021454,3
31,-3.4522922,11.268332,1
32,-8.651614,-36.19129,3
33,33.817307,22.8867,4
34,-34.54958,13.149205,7
35,-16.443619,14.571843,2
36,2.718807,-39.245056,7
37,-36.570988,13.033489,1
38,7.8122926,16.037647,2
39,-6.5504694,-43.129353,1
40,16.192244,-14.807734,1
41,-0.6744577,2.946429,7
42,11.711356,18.001303,4
43,32.725338,20.37216,2
44,-10.67639,-10.567651,3
45,30.353765,6.342932,5
46,6.6234145,-3.1620347,1
47,-11.066784,9.891834,2
48,-8.515172,-11.9914255,4
49,-16.97246,-1.2137455,4
50,-28.1053,-7.5636497,6
51,-44.910736,-2.4654353,3
52,19.151264,15.432236,5
53,42.04724,6.5418777,5
54,29.916815,12.679515,6
55,5.000211,6.296289,0
56,-42.843403,-7.7380376,4
57,35.821598,17.756962,1
58,39.127228,-15.434344,9
59,2.8993092,42.681015,5
60,38.890896,-27.943838,7
61,45.27833,10.088013,8
62,1.7106471,-38.736893,9
63,-43.572227,9.061373,3
64,48.327892,-19.523657,7
65,-11.316197,16.088665,4
66,-0.7441123,-40.854664,6
67,0.31624407,27.435095,4
68,-48.624207,-11.090767,3
69,-33.030987,4.6935053,0
70,10.412301,-27.312729,7
71,31.30897,29.495726,0
72,11.902944,-31.982016,2
73,-5.3092494,-41.729946,9
74,-15.007268,-11.144566,1
75,-36.14637,9.9184675,7
76,-9.193434,31.920012,3
77,10.204151,38.458908,2
78,0.96020335,35.29147,9
79,28.502499,37.448406,7
80,-34.62407,-0.94472307,7
81,-36.021957,9.989625,6
82,-29.211842,21.271534,2
83,-7.3984203,-46.51177,7
84,15.852232,18.326221,8
85,-3.0936937,3.68958,4
86,-21.750027,-19.1093,7
87,39.052074,15.727868,3
88,-42.056297,-8.879853,6
89,52.999035,3.5841184,1
90,-5.9091277,-45.933037,3
91,30.891695,31.065395,6
92,41.664536,-17.371374,9
93,-2.5548224,-40.731144,3
94,3.6131506,5.92298,1
95,-35.48193,6.3932147,4
96,20.166452,24.152117,1
97,1.1515445,7.4867826,7
98,-15.495617,-10.569986,6
99,8.710298,37.796623,9
100,1.6256138,-22.43428,6
101,26.793339,19.459116,0
102,14.268885,-32.423943,5
103,24.844715,24.428198,4
104,21.920015,-35.790745,9
105,-2.2421544,34.861874,9
106,-3.388034,-34.261467,2
107,-24.844637,2.0145042,1
108,-50.68686,-9.811583,9
109,-16.899271,43.52526,4
110,24.591406,-14.434345,8
111,-17.15235,2.5347943,7
112,14.412295,-16.890446,3
113,-4.3671284,37.92831,9
114,-52.04175,1.5074505,7
115,49.49608,4.1097536,4
116,28.827791,-3.2100716,4
117,-16.835192,32.541534,4
118,-39.67801,-0.013437068,9
119,-44.12384,11.908369,2
120,15.06015,24.081621,5
121,-48.22621,-6.322495,4
122,-17.62219,33.624775,7
123,29.512173,32.831554,6
124,-0.274459,23.000607,7
125,-1.2246282,2.431263,9
126,-1.5310224,-32.89135,0
127,50.342606,9.746678,5
128,11.353893,-22.362535,8
129,3.862117,-43.46833,5
130,-15.8150835,-5.392539,6
131,49.531292,8.677053,6
132,-11.437587,-16.717869,5
133,26.718496,11.305956,7
134,25.619562,-35.46203,8
135,-21.676628,3.4903302,1
136,-15.324215,-14.171235,0
137,-0.9684727,5.896916,1
138,-14.646536,-20.885015,6
139,45.589275,6.179251,4
140,11.68446,25.965672,6
141,28.566408,37.77417,7
142,41.56362,-4.784862,3
143,-14.835153,41.766033,1
144,5.7293615,-8.997711,7
145,-11.627821,13.930891,1
146,2.784848,7.2346873,8
147,-5.6495953,-39.952183,2
148,11.379316,27.004436,0
149,-20.297016,-10.266913,2
150,35.884968,-4.145237,9
151,-3.1248648,-45.17935,9
152,-2.982552,21.908524,5
153,33.731888,19.50761,5
154,20.961823,5.658884,1
155,1.0060474,-44.782074,5
156,-50.27817,1.0490029,6
157,-21.092405,3.9564176,0
158,13.603036,2.4052758,3
159,-18.703125,32.558537,4
160,6.1137576,-6.9043145,4
161,-16.413738,30.997023,6
162,24.638798,-2.520326,5
163,45.117863,10.068535,4
164,39.049824,-22.530046,6
165,0.0978417,-43.053535,5
166,45.089687,0.97716326,4
167,37.289627,14.133306,5
168,14.290034,27.793827,1
169,-35.05753,6.4341063,4
170,22.814693,-5.4639554,4
171,-18.468966,32.47725,7
172,20.437666,10.327173,2
173,-15.324469,16.214869,3
174,15.426184,-13.43563,2
175,-13.504265,13.169719,7
176,21.71582,-1.1282934,1
177,11.5035715,34.600872,8
178,-35.203148,27.519014,1
179,-17.421707,3.3151696,8
180,-5.4005547,26.113735,1
181,-16.658276,3.7078514,8
182,-18.652239,-21.690863,5
183,32.159107,12.337405,0
184,19.054869,-33.718678,8
185,30.776596,31.152935,9
186,-15.284199,-35.99063,2
187,-14.218497,35.361877,5
188,9.717267,-4.020988,0
189,-15.0662,40.54958,1
190,-17.564196,35.40571,1
191,-11.503496,14.141589,1
192,-36.663433,4.8364496,0
193,30.97236,31.058483,9
194,43.962738,-15.806201,0
195,35.51287,20.613436,3
196,15.020316,5.589847,1
197,-3.2075372,7.858337,6
198,-26.36696,-12.585159,4
199,-24.28722,38.288944,2
200,20.041454,-32.16898,3
201,9.687695,43.763622,6
202,-1.1577216,3.817426,1
203,-16.736975,3.6017888,1
204,-6.929196,-38.559296,1
205,-2.0402176,44.46748,3
206,-46.492065,-8.200358,9
207,-18.191957,6.2886653,5
208,9.368659,-17.823511,2
209,-47.98089,-9.21557,9
210,-38.112553,-6.36011,4
211,2.3591995,28.914745,5
212,13.5468,-26.527363,9
213,-25.848934,34.47676,3
214,15.044042,9.195314,9
215,-25.029877,1.230866,0
216,-33.83114,-2.715135,3
217,43.488052,-9.473522,6
218,-12.987483,-37.711517,5
219,-6.5251374,-16.292606,5
220,-15.2128935,27.561249,7
221,-13.174684,-46.128338,2
222,39.698685,-26.730312,2
223,27.33872,23.866154,7
224,17.537146,32.966724,1
225,-5.467283,4.576415,2
226,21.722216,-6.661896,8
227,28.507313,9.810865,4
228,-0.3169754,-29.06683,1
229,-46.00831,-10.556174,7
230,22.17958,31.95654,3
231,-0.54905707,20.535696,3
232,-31.146763,3.7672079,8
233,-30.44321,30.199068,8
234,-35.343327,1.8970938,7
235,-23.618109,2.5416765,9
236,0.9919628,-18.744938,2
237,44.73215,-7.985301,2
238,-13.554557,-41.999603,4
239,-16.668522,9.378378,1
240,0.9276047,-1.5736327,5
241,-23.2307,-42.28415,9
242,-32.791122,-7.5395393,8
243,24.110071,21.539557,7
244,-13.541653,-26.879416,2
245,-4.448794,5.458943,3
246,-48.12154,-11.509988,0
247,28.217583,10.384778,4
248,23.203691,-33.248653,4
249,-49.28579,-9.438931,2
250,-25.59289,-20.271425,4
251,2.8211603,30.402676,1
252,-13.488844,38.118988,9
253,-34.82964,31.02762,5
254,-29.041807,-8.030804,7
255,-22.2412,3.320204,7
256,10.113667,-40.602726,2
257,46.989273,0.30448726,8
258,17.251984,26.075445,2
259,-18.833246,12.59435,6
260,-55.025726,-1.9984202,8
261,-3.3622522,-46.042885,5
262,9.038645,-48.302822,7
263,25.034079,25.35193,7
264,27.071445,-20.610622,9
265,-4.9707284,6.237326,1
266,-11.402119,-28.259352,8
267,28.177711,8.240989,1
268,-13.595619,44.528175,8
269,-3.1654222,30.083628,0
270,-1.2854807,23.378445,3
271,43.31918,0.14273891,0
272,51.014236,-8.91698,1
273,-16.753733,9.451305,9
274,8.379519,-40.949287,9
275,46.920532,-0.07526967,4
276,11.983074,-12.747265,1
277,-31.88039,28.786057,8
278,-12.345601,-16.81381,2
279,-16.946484,1.7191068,1
280,32.093548,9.183373,2
281,-24.49144,2.5113578,9
282,22.535181,-18.632437,7
283,-47.734695,-6.079677,5
284,-20.953844,-25.545248,9
285,27.917807,9.933243,2
286,-6.284063,-47.347,6
287,-17.34772,14.618743,4
288,14.144095,16.906105,1
289,43.720154,0.1253451,5
290,2.9341354,28.366499,8
291,-23.900923,0.077698365,2
292,36.93527,-1.255765,9
293,-41.72222,-1.2326735,2
294,37.958324,-27.884045,0
295,-3.6761217,8.126551,4
296,-39.855408,-1.2762955,0
297,47.13273,0.30401492,0
298,-19.58077,-15.772,2
299,-12.485847,-44.554024,8
300,2.3276782,-1.243144,4
301,28.493252,26.047411,7
302,0.51912683,-45.134975,1
303,-41.509506,6.8024163,2
304,19.74999,2.4558935,4
305,26.709787,35.367794,0
306,-24.35586,-26.722017,2
307,20.413029,28.666824,7
308,-29.384268,31.039011,4
309,-1.7662281,32.70229,3
310,14.885045,-16.771643,3
311,-10.41956,-46.936424,0
312,4.535126,-5.394728,0
313,29.09611,10.310382,3
314,45.253708,-18.11438,1
315,3.0714843,37.807198,9
316,-21.085022,-25.20658,6
317,-33.221905,30.78785,5
318,-20.400074,40.8136,2
319,37.014133,18.356428,5
320,-34.9495,4.8844686,9
321,-23.27385,2.7625933,2
322,27.626589,-15.955917,9
323,-18.713026,-43.457348,3
324,12.808918,20.763657,0
325,-30.013664,32.194454,4
326,-37.36407,3.4352314,2
327,-23.056978,4.3095875,0
328,-3.655088,-24.13884,7
329,47.777977,-0.66693985,1
330,-31.718386,-16.20606,1
331,-3.339388,-43.07312,2
332,-10.215582,-26.172337,1
333,-2.0869522,-6.3254585,5
334,28.51739,-10.942142,3
335,-18.51281,13.022745,3
336,41.015324,-5.739853,9
337,27.886528,27.468084,7
338,45.91899,-8.722017,8
339,-30.531223,32.10449,6
340,20.647852,-2.4011989,5
341,-24.415539,3.1110504,6
342,39.234188,-3.994057,1
343,-3.9660907,8.551971,3
344,24.007095,-9.172777,8
345,2.6986535,37.810524,1
346,-10.065828,0.92549837,0
347,-33.33978,30.371235,5
348,-0.759419,-2.0448184,1
349,23.985899,29.45058,3
350,27.483265,-6.306646,1
351,3.0400846,40.02555,5
352,-4.389173,-10.052099,5
353,19.557667,33.79971,6
354,37.901188,-9.4922495,1
355,-2.1558998,43.438183,8
356,-14.816609,-7.9958687,5
357,1.932631,36.94667,1
358,19.65234,-34.99759,7
359,-43.443005,2.9348137,9
360,-9.5488615,34.85911,4
361,-17.130295,1.9739553,6
362,27.322546,-1.9102857,2
363,44.1186,5.373484,2
364,27.915834,-0.36982098,5
365,-28.069595,31.401031,0
366,11.058838,-31.789824,6
367,-10.721768,-47.221943,5
368,-2.9634013,2.9947877,6
369,47.462006,-5.1569858,3
370,8.950499,22.254124,7
371,24.415888,18.559523,2
372,41.678066,-6.181982,0
373,47.611317,-0.76871824,8
374,25.71622,-7.924817,8
375,-30.705532,32.41164,5
376,1.9019877,-14.455772,4
377,28.278303,27.587336,1
378,-22.917404,23.916193,1
379,44.992012,6.8334875,4
380,42.229156,-24.331467,0
381,-26.76562,32.593975,3
382,12.769819,-28.837677,3
383,36.025116,12.999835,7
384,8.782445,10.917408,6
385,-29.285423,34.26437,1
386,-0.26083046,-13.758658,6
387,22.649067,30.951448,2
388,5.586736,-33.759254,1
389,34.460526,15.989083,9
