index,0,1,Digit
0,42.6886,-11.738582,7
1,6.7370515,-33.080044,2
2,14.530664,-40.863976,1
3,-10.920133,7.604619,0
4,31.642479,41.32483,4
5,12.388956,-36.362347,1
6,39.614742,34.180935,4
7,15.552837,35.400803,9
8,-18.508553,24.061544,5
9,13.699634,-2.5164053,9
10,-9.721057,21.416798,0
11,3.4788108,46.004032,6
12,16.554216,12.092871,9
13,-13.482563,20.668077,0
14,-7.498027,-45.220264,1
15,-51.60283,11.348529,5
16,11.515847,18.94027,9
17,45.54586,-10.558071,7
18,-45.50091,2.7853456,3
19,31.360508,31.57368,4
20,24.286976,-1.2131908,9
21,-8.936412,36.71973,6
22,2.7085216,48.080643,6
23,-29.951748,21.017025,5
24,23.797237,33.673454,4
25,2.4811375,16.676805,0
26,51.02262,1.4968001,7
27,30.201847,39.606537,4
28,-11.603079,9.675153,0
29,-16.748043,-52.773064,1
30,-33.611187,-5.483242,3
31,-15.407103,-49.666725,1
32,-36.640495,0.7200185,3
33,5.119261,38.89902,4
34,25.015615,-17.091503,7
35,-2.9429646,-9.726156,2
36,37.884495,-3.3853624,7
37,-9.308022,-57.589478,1
38,12.521416,-31.117748,2
39,4.2543225,-50.42415,1
40,0.7339862,-58.41976,1
41,34.457882,-9.6948805,7
42,31.943192,29.156355,4
43,18.83494,-21.804949,2
44,-44.884583,-9.034747,3
45,-34.556835,18.905462,5
46,-20.462456,-47.93976,1
47,4.341577,-20.134672,2
48,30.003565,34.52125,4
49,24.9026,43.555305,4
50,-25.465435,33.683178,6
51,-45.30753,3.547243,3
52,-28.665947,12.829366,5
53,-49.216663,14.32288,5
54,7.3121676,47.72963,6
55,-12.540281,9.041384,0
56,31.55258,42.606594,4
57,10.729326,-38.856827,1
58,13.084657,14.269582,9
59,-18.313272,14.782688,5
60,55.099415,-0.26365608,7
61,-14.181053,-36.384888,8
62,20.479267,22.504698,9
63,-37.578796,-30.998108,3
64,28.793198,-19.546442,7
65,24.542137,19.061697,4
66,3.0524683,46.701015,6
67,32.347256,38.93941,4
68,-35.45616,-10.920177,3
69,3.7185102,25.092155,0
70,46.121532,-11.325854,7
71,-1.6831669,26.580221,0
72,-4.606322,-4.3167377,2
73,19.852793,-7.977582,9
74,-2.58415,-55.520466,1
75,35.31471,5.44685,7
76,-48.48627,-7.473581,3
77,29.19881,-9.791175,2
78,23.0317,-4.4875584,9
79,31.935984,-24.687237,7
80,48.37374,6.8810916,7
81,-11.201723,42.46324,6
82,0.44522765,-15.725105,2
83,47.17001,1.5882632,7
84,-14.128699,-11.655337,8
85,35.839844,37.408558,4
86,33.644676,-14.789499,7
87,-37.700916,2.030149,3
88,-4.968874,45.04105,6
89,19.186975,-43.276897,1
90,-38.98448,-14.901074,3
91,-16.623821,39.176674,6
92,16.708614,-6.126448,9
93,-37.21289,-17.58969,3
94,-13.910169,-42.586464,1
95,35.168514,25.542576,4
96,-20.46242,-49.076496,1
97,25.430368,-7.719934,7
98,-18.010147,27.425503,6
99,12.548157,30.346912,9
100,-0.5284794,44.285027,6
101,-7.5202227,23.395227,0
102,-32.86175,16.37481,5
103,26.246958,44.186085,4
104,12.239669,37.02247,9
105,10.843832,26.215265,9
106,-3.681083,-5.330646,2
107,21.03259,-37.886837,1
108,20.576885,27.198605,9
109,35.833977,30.643753,4
110,-31.2339,-30.335043,8
111,27.187828,-7.5444503,7
112,-31.088417,-8.323011,3
113,15.186657,21.040625,9
114,33.422558,2.3219233,7
115,18.47554,9.2548065,4
116,26.817846,25.823748,4
117,22.988781,46.650074,4
118,18.916168,12.681816,9
119,21.067133,-13.569578,2
120,-40.224163,12.710871,5
121,45.00022,22.2606,4
122,41.818703,3.704117,7
123,-12.069339,42.941483,6
124,52.949112,-12.887852,7
125,15.101771,22.75013,9
126,-5.0083914,29.179325,0
127,-25.778002,20.918959,5
128,-11.518183,-16.707853,8
129,-28.084002,18.722816,5
130,-19.844473,43.881393,6
131,-26.727947,47.81638,6
132,-44.32637,20.281643,5
133,31.73777,2.4440556,7
134,-21.096455,-23.69574,8
135,4.2358465,-50.03876,1
136,-13.517889,11.615683,0
137,25.462954,-50.625034,1
138,-2.352368,47.022324,6
139,50.471954,25.206882,4
140,-20.154741,30.6722,6
141,49.68425,2.222288,7
142,-34.702305,-0.029880127,3
143,6.409833,-56.37337,1
144,26.645952,-10.037827,7
145,-16.60247,-53.790443,1
146,-10.752065,-19.272263,8
147,2.969726,-6.874629,2
