index,0,1,Digit
0,20.719873,40.29539,7
1,-16.022194,-10.870708,2
2,38.043495,-2.7088082,1
3,-31.2727,-10.077217,0
4,-19.10829,21.322145,4
5,34.801285,-0.8714319,1
6,-14.970112,15.841041,4
7,-8.46125,45.63913,9
8,8.473432,1.9904135,5
9,12.184939,12.052174,9
10,-39.49548,-6.692094,0
11,-44.154453,21.954113,6
12,5.324669,24.266119,9
13,-36.99324,-5.216699,0
14,32.69403,-21.885818,1
15,-3.6488917,-24.46156,5
16,-9.030841,34.502968,9
17,19.56648,41.076893,7
18,-4.9286966,-46.327602,3
19,-14.492948,23.818447,4
20,15.822173,19.7021,9
21,-29.80053,16.548815,6
22,-45.05467,20.440977,6
23,5.662485,-7.9767685,5
24,-16.59269,32.06676,4
25,-46.27618,-16.49112,0
26,6.249745,46.30734,7
27,-15.472232,23.60653,4
28,-31.830956,-8.395636,0
29,40.512512,-28.663157,1
30,10.856666,-39.335648,3
31,36.79522,-28.094885,1
32,11.544401,-46.967396,3
33,-26.08173,22.936125,4
34,28.904474,22.489925,7
35,-21.210672,-34.863037,2
36,15.354678,36.870766,7
37,43.324173,-24.689196,1
38,-17.392069,-8.741309,2
39,42.49393,-12.853018,1
40,48.52887,-17.337763,1
41,22.043306,32.007664,7
42,-10.795905,20.816582,4
43,-23.681002,-13.107887,2
44,7.8959956,-41.17933,3
45,5.8622785,-17.32812,5
46,35.841724,-31.88498,1
47,-15.468081,-26.145082,2
48,-17.173014,25.473871,4
49,-24.726048,28.7449,4
50,-21.488016,7.60491,6
51,-5.666827,-46.991734,3
52,0.90292186,-7.5214653,5
53,-2.2105513,-24.005407,5
54,-48.29923,16.908207,6
55,-30.015423,-8.429148,0
56,-21.917076,22.411352,4
57,35.826756,-5.1927757,1
58,2.6511173,27.02015,9
59,2.8251865,2.4906104,5
60,7.0539923,49.920036,7
61,18.737442,8.654477,8
62,-6.495371,33.047115,9
63,11.930351,-26.296951,3
64,31.022255,26.077806,7
65,-4.858003,29.160221,4
66,-44.713226,21.6519,6
67,-19.29406,21.65362,4
68,20.634483,-39.53653,3
69,-52.575768,-5.8064666,0
70,21.156487,42.794037,7
71,-47.30983,-5.9345336,0
72,-15.865563,-38.974197,2
73,19.848232,15.160827,9
74,44.78042,-18.749771,1
75,8.971323,33.821663,7
76,5.3325095,-41.936398,3
77,17.057034,29.633488,2
78,17.689465,18.619226,9
79,35.268543,28.72952,7
80,2.7344167,43.51627,7
81,-31.531458,15.611744,6
82,-19.25819,-28.293072,2
83,4.660217,43.79265,7
84,16.42255,-12.716055,8
85,-19.806244,23.816525,4
86,25.992872,30.139975,7
87,9.312252,-45.637833,3
88,-39.15473,19.329338,6
89,41.91937,0.43569514,1
90,13.450607,-36.898746,3
91,-27.74882,12.483362,6
92,16.031433,12.893249,9
93,15.948917,-33.05067,3
94,31.72462,-28.928652,1
95,-8.532497,18.412914,4
96,36.826653,-31.61213,1
97,20.728569,22.832127,7
98,-20.472418,13.023236,6
99,-11.73014,40.72021,9
100,-41.47687,21.295362,6
101,-41.117336,-5.560202,0
102,5.6124053,-13.020127,5
103,-23.870836,27.678007,4
104,-16.106714,43.35014,9
105,-9.234501,38.240707,9
106,-16.777512,-37.950893,2
107,38.730473,3.1714635,1
108,-2.3545861,40.85973,9
109,-13.501117,19.948479,4
110,29.014908,-3.1684217,8
111,20.807573,24.759142,7
112,22.28711,-34.99898,3
113,-4.7961364,33.8568,9
114,11.500544,31.772293,7
115,1.4685593,19.933449,4
116,-12.894406,24.18636,4
117,-27.12048,29.216196,4
118,3.3125703,20.828953,9
119,29.178074,24.73185,2
120,4.5765195,-20.766985,5
121,-7.0465074,9.5881815,4
122,7.8365726,39.22892,7
123,-31.699547,14.356007,6
124,20.140661,47.835537,7
125,-5.812936,34.5333,9
126,-46.045635,-1.3317422,0
127,6.3569636,-3.884896,5
128,17.103447,-8.790073,8
129,5.059589,-6.881613,5
130,-30.515224,7.698169,6
131,-28.75208,0.8563842,6
132,-0.16539381,-18.53594,5
133,12.543509,30.450075,7
134,21.660727,-3.236599,8
135,42.06009,-12.538143,1
136,-30.792965,-7.0403066,0
137,45.840725,3.0199735,1
138,-40.702087,16.815748,6
139,-5.3859897,7.663143,4
140,-21.31014,11.309574,6
141,6.859276,45.746513,7
142,20.504011,-42.398575,3
143,48.78128,-11.906845,1
144,22.893217,23.965466,7
145,41.113987,-28.54844,1
146,16.25296,-5.1900063,8
147,-22.363234,-34.67003,2
148,-32.975025,-11.55678,0
149,-24.334496,-15.045088,2
150,-7.889867,35.689186,9
151,13.036287,-21.005375,9
152,2.942333,0.7084861,5
153,5.1780043,-16.815578,5
154,34.92042,-19.656042,1
155,-0.5120319,-9.623468,5
156,-39.103294,19.72874,6
157,-31.300362,-6.55283,0
158,-5.6765637,-41.58402,3
159,-5.843641,26.37763,4
160,-12.648444,30.786432,4
161,-28.851236,1.7443081,6
162,5.855491,-12.654491,5
163,-24.464823,28.853773,4
164,-37.304638,23.28345,6
165,-1.6265334,-22.491194,5
166,-10.505596,24.87475,4
