index,0,1,Digit
0,0.35774976,-34.723083,7
1,28.86414,-7.855892,2
2,23.22043,-23.450836,1
3,-12.605328,29.566399,0
4,-38.029087,-5.988314,4
5,22.975304,-26.014431,1
6,-30.788544,-1.8707663,4
7,-30.409565,-34.08742,9
8,-2.1642487,5.5045624,5
9,-5.841686,-7.3078375,9
10,-20.52814,33.8796,0
11,-49.85769,7.559869,6
12,-14.722797,-17.63783,9
13,-20.93631,30.796759,0
14,14.2908535,-41.53527,1
15,7.48868,35.747986,5
16,-27.824661,-23.01417,9
17,-1.6391516,-39.77714,7
18,14.326705,34.560856,3
19,-31.617863,-10.019798,4
20,-3.4670362,-16.184872,9
21,-33.79982,7.1392493,6
22,-50.18038,9.232739,6
23,-0.4460196,16.459707,5
24,-35.918804,-16.855307,4
25,-16.911346,48.740124,0
26,-16.774357,-41.1247,7
27,-37.075424,-7.8353496,4
28,-14.438703,28.933304,0
29,13.048197,-50.244015,1
30,20.083408,20.167534,3
31,7.1572375,-46.668118,1
32,14.941176,25.672323,3
33,-42.940937,-2.6692748,4
34,11.750144,-22.439335,7
35,43.59953,8.153109,2
36,-5.959319,-34.52684,7
37,17.851112,-48.610935,1
38,29.182995,-10.655154,2
39,22.673437,-37.593994,1
40,26.175299,-44.737595,1
41,0.9455522,-31.290586,7
42,-29.956093,-9.629077,4
43,37.83566,-11.511011,2
44,22.826275,30.98756,3
45,-0.42133838,22.596813,5
46,7.500287,-50.281387,1
47,35.40189,2.7270033,2
48,-34.229424,-9.864235,4
49,-42.070282,-9.939375,4
50,-25.627842,12.906835,6
51,15.480852,32.48199,3
52,-5.066961,17.959394,5
53,6.905939,34.21764,5
54,-53.058533,11.487523,6
55,-13.287817,27.626007,0
56,-39.11441,-5.3518515,4
57,20.751162,-25.185741,1
58,-19.332554,-17.523613,9
59,-6.570705,7.007523,5
60,-17.750303,-44.703465,7
61,11.599737,-12.568616,8
62,-25.271727,-23.478859,9
63,29.379482,13.114864,3
64,8.2775545,-21.81341,7
65,-24.320152,-18.980501,4
66,-50.154648,8.056836,6
67,-36.228436,-6.0014844,4
68,23.966356,20.676443,3
69,-24.795135,46.431995,0
70,-1.3881915,-40.21359,7
71,-24.137962,38.52305,0
72,40.860695,15.292506,2
73,0.5713562,-10.798678,9
74,22.377005,-44.4978,1
75,-12.695184,-30.45253,7
76,23.797531,33.25619,3
77,2.7471204,-30.020624,2
78,-2.043419,-14.735739,9
79,6.6985574,-17.751745,7
80,-19.518517,-37.642647,7
81,-36.910526,11.48493,6
82,39.061325,3.3852742,2
83,-17.70955,-38.415382,7
84,4.76141,6.945504,8
85,-34.456993,-3.9397767,4
86,4.142159,-26.174955,7
87,14.653823,25.334217,3
88,-44.63936,8.927101,6
89,27.446402,-26.15564,1
90,27.298859,23.713675,3
91,-32.766148,11.050724,6
92,-2.335788,-8.431558,9
93,28.47491,18.929255,3
94,16.590166,-45.545002,1
95,-25.132982,-6.905319,4
96,6.8410945,-49.587486,1
97,10.1462965,-30.035082,7
98,-25.500566,6.3914847,6
99,-31.542128,-28.33526,9
100,-47.234722,7.466871,6
101,-23.063366,34.04186,0
102,1.9554375,20.931265,5
103,-41.656273,-9.187729,4
104,-36.203373,-30.063616,9
105,-29.580074,-25.820343,9
106,40.999626,13.93881,2
107,28.434513,-21.46314,1
108,-23.222998,-31.824268,9
109,-29.729532,-6.1973915,4
110,17.921682,0.6821228,8
111,8.9414425,-30.44117,7
112,21.313208,17.177107,3
113,-24.177086,-24.043179,9
114,-10.01659,-30.345745,7
115,-19.118242,-11.915417,4
116,-29.648037,-13.324099,4
117,-44.45043,-8.813893,4
118,-15.316452,-14.071478,9
119,9.844936,-22.794174,2
120,7.9138184,25.495722,5
121,-19.537762,1.584944,4
122,-13.911494,-35.44775,7
123,-36.20838,12.216307,6
124,-6.012039,-46.179367,7
125,-25.235723,-24.979979,9
126,-29.586658,36.373333,0
127,-1.5378181,13.214733,5
128,3.5043278,1.7260749,8
129,-1.4760808,16.219286,5
130,-34.48591,17.866646,6
131,-30.403242,24.176483,6
132,2.4274502,29.73004,5
133,-6.150021,-35.599842,7
134,9.3850765,-1.8618653,8
135,22.580652,-37.654247,1
136,-14.940464,27.328136,0
137,32.63144,-30.077604,1
138,-45.270267,11.912332,6
139,-17.482224,2.6307466,4
140,-25.646158,8.981089,6
141,-15.895638,-40.663773,7
142,15.211536,22.45636,3
143,28.35851,-40.269783,1
144,8.551154,-27.877686,7
145,13.23084,-51.194427,1
146,2.4345112,-0.9914105,8
147,45.186954,8.408308,2
148,-12.752545,31.661871,0
149,39.37073,-10.692463,2
150,-27.30415,-24.583326,9
151,10.83315,16.624144,9
152,-5.9449387,9.113046,5
153,4.483584,23.306349,5
154,10.076461,-39.360867,1
155,-5.2009783,21.240297,5
156,-44.641987,8.326068,6
157,-15.68471,27.368723,0
158,16.945538,39.05965,3
159,-24.669466,-16.376764,4
160,-32.602715,-18.357769,4
161,-31.411692,22.792076,6
162,1.9831846,20.165802,5
163,-40.53233,-14.022171,4
164,-43.54821,4.587558,6
165,5.945272,33.17601,5
166,-27.740911,-13.997427,4
167,-14.468677,11.167629,5
168,13.124156,-46.245003,1
169,-32.615475,-13.370091,4
170,-31.316578,-14.504223,4
171,11.917176,-20.12304,7
172,26.224731,-0.9042469,2
173,11.648749,33.160805,3
174,33.030407,3.1357281,2
175,9.229475,-32.075794,7
176,26.000555,-44.55794,1
177,9.342016,5.7137084,8
178,17.218678,-34.730694,1
179,11.658238,5.9692025,8
180,13.926972,-32.540817,1
181,9.734058,9.655668,8
182,-0.3114182,13.825738,5
183,-19.34944,41.945866,0
184,15.875967,6.4135075,8
185,-22.637995,-19.552042,9
186,27.009525,-4.7817154,2
187,7.597167,27.677044,5
188,-15.113475,41.12878,0
189,6.6961193,-47.166107,1
190,29.571064,-27.380718,1
191,7.2446165,-50.870827,1
192,-4.8855863,42.86832,0
193,-25.064884,-32.01423,9
194,-15.75828,34.21069,0
195,8.397543,17.882246,3
196,22.033983,-42.206306,1
197,-22.229057,20.245867,6
198,-30.965237,-8.56422,4
199,30.453405,4.4282565,2
200,28.761942,40.399742,3
201,-46.564415,17.259037,6
202,29.820156,-21.020199,1
203,8.367362,-41.510963,1
204,23.296535,-23.607916,1
205,18.423954,21.945015,3
206,-15.033285,-23.818132,9
207,7.900696,29.469368,5
208,41.57933,-0.53711796,2
209,-29.861286,-33.794342,9
210,-36.019848,-4.897805,4
211,-4.343025,8.435405,5
212,-35.732784,-32.422222,9
213,23.67248,15.422092,3
214,-21.77449,-24.705568,9
215,-11.060583,29.937838,0
216,26.198046,21.437393,3
217,-18.436066,18.8542,6
218,-5.9451575,8.234535,5
219,-3.5538368,26.321701,5
220,-18.007284,-38.143093,7
221,33.903328,11.216117,2
222,41.680473,-7.0558434,2
223,5.6007605,-23.96922,7
224,26.500183,-21.82687,1
225,27.963545,5.8773236,2
226,8.263182,6.236721,8
227,-21.798052,-12.266037,4
228,35.10699,-33.438114,1
229,-5.9073005,-30.854095,7
230,10.691864,21.646982,3
231,25.66744,15.706845,3
232,8.919464,10.516425,8
233,-0.6325937,0.5448123,8
234,-8.664705,-31.624224,7
235,-28.934788,-27.072939,9
236,33.735905,0.07216971,2
237,35.65566,1.9588306,2
238,-27.993141,-7.819196,4
239,11.0733795,-41.102684,1
240,2.5132232,28.328892,5
241,11.089824,15.122021,9
242,10.159304,-12.556772,8
243,-12.641753,-30.922924,7
244,36.260468,-5.3587236,2
245,13.86539,33.753174,3
246,-30.294012,35.63275,0
247,-19.496254,8.463996,4
248,-33.488354,-6.5839467,4
249,29.153603,-3.6959448,2
250,-34.390488,-11.175693,4
251,14.383669,-49.01212,1
252,-23.780313,-28.569283,9
253,-0.61270225,22.292358,5
254,-10.580942,-36.59226,7
255,-9.069219,-31.86045,7
256,26.498852,-3.5441222,2
257,9.696801,7.607467,8
258,36.12531,9.249478,2
259,-26.849451,29.30815,6
260,9.19924,-9.324693,8
261,-6.174175,11.503198,5
