index,0,1,Digit
0,30.94089,33.804005,7
1,53.87338,-45.22237,2
2,-36.848934,-62.82091,1
3,-46.181007,-30.14755,0
4,-58.8159,38.391575,4
5,36.731575,-15.526907,1
6,-40.626537,45.347317,4
7,-66.220726,-18.616903,9
8,16.391111,38.035324,5
9,-28.52479,35.14496,9
10,-28.914404,-60.471718,0
11,-26.136421,61.73756,6
12,-46.70247,8.371713,9
13,-33.650524,-57.939426,0
14,7.0331864,-14.123517,1
15,4.8616667,-3.68344,5
16,-56.139065,7.9542513,9
17,38.83455,51.349316,7
18,-17.247023,-10.006047,3
19,-40.04001,40.473534,4
20,-20.343527,31.370893,9
21,-15.71424,-27.326572,6
22,-26.926298,63.62077,6
23,11.208037,22.001122,5
24,-50.119427,28.923752,4
25,-8.082931,-38.4497,0
26,16.838581,62.7937,7
27,-50.573452,38.663883,4
28,-44.847866,-27.429604,0
29,-56.1294,-24.605576,1
30,-5.8231044,15.189325,3
31,-57.47096,-31.455723,1
32,-25.767195,-0.27842787,3
33,-66.40117,41.64334,4
34,34.560513,-5.0663977,7
35,67.211754,11.995568,2
36,26.736849,40.865257,7
37,0.22525597,-10.837256,1
38,54.349136,-23.679089,2
39,13.498754,-16.597887,1
40,28.535265,-4.2103186,1
41,70.77702,34.678543,7
42,-45.763607,44.998383,4
43,51.047405,-9.785279,2
44,1.9317815,5.7493634,3
45,11.287992,13.080727,5
46,-68.845604,-24.926277,1
47,43.201664,1.6635022,2
48,-51.645332,27.249887,4
49,-55.274845,35.35759,4
50,-1.2119467,-32.75015,6
51,-22.00095,-7.718719,3
52,6.1597075,32.175476,5
53,7.772511,-4.6089325,5
54,-27.864286,67.79103,6
55,-47.439922,-28.380312,0
56,-61.41908,37.433796,4
57,36.338516,-18.08395,1
58,-49.94232,10.990365,9
59,11.240648,46.100445,5
60,15.620413,72.657326,7
61,15.016704,-65.95834,8
62,-39.888515,8.288384,9
63,32.93458,6.2196383,3
64,40.855778,-3.2631521,7
65,-37.830395,10.832235,4
66,-26.491537,61.002617,6
67,-55.291183,38.126,4
68,-20.54767,7.5337605,3
69,7.245473,-63.60861,0
70,39.992107,50.024063,7
71,-11.078162,-61.533794,0
72,51.119442,27.060871,2
73,-17.027012,38.59931,9
74,15.289314,-5.8190255,1
75,19.040672,34.38006,7
76,-15.351654,8.891398,3
77,37.55478,11.48609,2
78,-13.250576,37.142773,9
79,39.26543,10.544685,7
80,10.209799,57.11704,7
81,-10.896265,-21.386957,6
82,59.888775,0.51449794,2
83,15.461507,56.680782,7
84,23.536085,-29.668034,8
85,-50.437496,46.170452,4
86,36.14753,24.605158,7
87,-18.334227,-3.1442804,3
88,-28.005285,-25.64453,6
89,-44.098274,-46.20939,1
90,-12.910676,15.463716,3
91,-11.119194,-31.903387,6
92,-19.67696,45.436108,9
93,-4.9857626,13.803153,3
94,-63.96871,-21.327675,1
95,-31.377714,45.438164,4
96,-68.85702,-30.1073,1
97,25.080025,8.89726,7
98,-4.3257675,-24.346706,6
99,-60.187424,-7.901761,9
100,-29.1061,-26.552982,6
101,-18.730011,-62.557945,0
102,17.837238,24.740376,5
103,-61.64439,24.549982,4
104,-67.163086,-11.3871565,9
105,-62.0539,6.1680098,9
106,50.021595,23.474173,2
107,-39.818604,-44.337814,1
108,-52.619,-17.123716,9
109,-44.682945,43.385674,4
110,12.139418,-45.5015,8
111,27.522352,15.805373,7
112,-0.16914213,14.241967,3
113,-48.14132,-0.047030523,9
114,20.111353,38.356617,7
115,-37.17358,15.627785,4
116,-47.20749,22.326536,4
117,-71.36505,30.240688,4
118,-37.81257,15.479447,9
119,44.954212,0.24493797,2
120,22.057472,7.0542316,5
121,-11.685576,62.874577,4
122,12.32386,52.07368,7
123,-23.277864,-28.745998,6
124,36.80961,66.551125,7
125,-48.156963,-6.9013343,9
126,-2.520797,-66.598656,0
127,19.310322,25.395145,5
128,27.413551,-33.770874,8
129,14.296537,27.405981,5
130,-15.425427,-40.982838,6
131,-11.187041,-53.248398,6
132,15.680882,1.6946428,5
133,19.946264,42.035503,7
134,26.893543,-45.472683,8
135,12.959915,-17.349241,1
136,-47.83206,-32.424603,0
137,-50.655704,-48.309593,1
138,-29.308212,-29.622208,6
139,-1.8365226,73.97824,4
140,-6.6397986,-26.278757,6
141,18.457764,64.759636,7
142,-26.284027,0.940005,3
143,28.393993,-18.567356,1
144,26.707087,9.583276,7
145,-62.81411,-31.477995,1
146,39.220783,-34.763416,8
147,61.05511,19.557812,2
148,-43.845104,-24.909546,0
149,53.551224,-7.4306917,2
150,-52.515144,5.819955,9
151,5.538395,-23.905952,9
152,6.7627554,42.827312,5
153,14.486655,15.311048,5
154,7.9328427,-8.494252,1
155,4.6432114,22.627975,5
156,-28.865248,46.49641,6
157,-45.332268,-35.801662,0
158,-6.327893,-14.918401,3
159,-39.705406,1.4183877,4
160,-46.489513,26.383223,4
161,-16.629951,-52.478447,6
162,18.120045,16.878048,5
163,-58.271347,34.32726,4
164,-22.892763,53.567616,6
165,8.670905,-2.3794584,5
166,-42.83537,26.310326,4
167,-6.675771,40.386612,5
168,-0.57396215,-15.81558,1
169,-44.297203,31.905933,4
170,-47.84732,27.636187,4
171,37.76993,-7.467234,7
172,60.37517,-40.753628,2
173,-22.071856,-2.9466312,3
174,53.84021,-2.2569878,2
175,26.824902,15.251178,7
176,13.5120535,-8.623838,1
177,17.373997,-33.16441,8
178,19.239798,-10.330066,1
179,29.819855,-35.423744,8
180,23.512274,0.21627362,1
181,13.9681425,-32.524803,8
182,19.523447,30.30574,5
183,-6.1484694,-54.85581,0
184,14.058675,-40.740963,8
185,-39.034676,19.87047,9
186,58.20257,-28.483114,2
187,16.16381,5.6756353,5
188,-26.628727,-22.650755,0
189,-68.99461,-31.169945,1
190,31.878704,-5.781744,1
191,-67.698235,-25.743074,1
192,-32.956665,-8.961836,0
193,-58.303654,-13.599597,9
194,-38.244217,-31.974482,0
195,-32.734306,-3.5607903,3
196,12.040429,-14.888601,1
197,-0.60918415,-43.800682,6
198,-47.531654,23.642937,4
199,58.689224,-2.3709524,2
200,-10.4573965,-4.86988,3
201,-37.918907,61.49274,6
202,27.329178,4.516763,1
203,10.287024,-7.913218,1
204,-36.774185,-63.035477,1
205,-15.453754,0.6064831,3
206,-33.076767,8.187935,9
207,10.773526,0.2401751,5
208,62.623413,3.1528897,2
209,-65.024826,-19.248758,9
210,-55.80104,44.269417,4
211,13.537994,42.139942,5
212,-70.84962,-13.310108,9
213,0.31492433,22.103888,3
214,-50.781883,-0.74578404,9
215,-46.457607,-20.481194,0
216,-7.927107,18.16267,3
217,6.897781,-40.345932,6
218,11.663211,42.67142,5
219,4.6426444,17.12497,5
220,13.235319,58.59171,7
221,44.65306,11.544443,2
222,46.27058,-0.35220188,2
223,37.742233,6.1072774,7
224,26.333263,11.610447,1
225,48.679565,-25.486284,2
226,28.629692,-30.293512,8
227,-43.890625,21.894165,4
228,-48.584427,-54.244247,1
229,26.563532,30.581678,7
230,1.7361932,1.8455951,3
231,0.03538172,11.030266,3
232,13.744387,-30.467667,8
233,34.134003,-35.396072,8
234,21.970484,41.17781,7
235,-57.08493,7.049205,9
236,48.287216,2.7557833,2
237,57.85632,-4.9570594,2
238,-39.800117,42.952156,4
239,7.273392,-12.525501,1
240,14.914716,15.580256,5
241,8.181513,-28.795214,9
242,33.744698,-69.60417,8
243,18.542215,36.339504,7
244,42.966267,4.919888,2
245,-20.45971,-10.556251,3
246,-10.959084,-71.80374,0
247,-39.192387,11.698548,4
248,-55.982635,36.445198,4
249,60.354275,-26.465923,2
250,-53.53704,31.321095,4
251,-2.5400848,-17.739975,1
252,-50.152824,-8.68919,9
253,11.282946,13.1105795,5
254,26.19977,47.28167,7
255,23.541496,41.157146,7
256,55.02467,-24.12887,2
257,18.600924,-27.027285,8
258,58.231716,4.6928062,2
259,-17.20314,-72.179695,6
260,36.502625,-62.003685,8
261,5.4910703,42.920734,5
262,19.837824,58.909843,7
263,24.596975,34.03228,7
264,-53.044476,14.061021,9
265,9.839419,-14.038155,1
266,11.147958,-36.426296,8
267,10.435776,-15.829674,1
268,12.345039,0.85213333,8
269,7.256444,-61.497013,0
270,-24.361649,-1.8986346,3
271,-43.57851,-31.847446,0
272,20.058954,0.7858114,1
273,-40.333584,18.528719,9
274,-66.62698,-4.936643,9
275,-54.329567,34.55088,4
276,16.349411,-16.939337,1
277,32.14632,-32.067528,8
278,50.261894,5.235307,2
279,8.98785,-9.827368,1
280,54.05059,-35.844086,2
281,-38.216473,22.348875,9
282,21.515776,40.33303,7
283,12.554321,41.118416,5
284,-68.1889,0.6035023,9
285,43.554745,10.237159,2
286,-5.483154,-24.728168,6
287,-72.14642,15.5824995,4
288,35.200134,-21.929094,1
289,14.022246,1.0515603,5
290,13.667568,-26.089735,8
291,56.403473,-43.63697,2
292,-55.315914,1.3037977,9
293,50.27145,-0.6757635,2
294,-42.9079,-27.488697,0
295,-61.159622,14.067499,4
296,-0.4272974,-58.107143,0
297,3.2332604,-66.15147,0
298,68.83632,-27.468412,2
299,17.05884,-37.579338,8
300,37.944706,-23.248568,4
301,17.31974,39.971195,7
302,-1.4495347,-17.10171,1
303,57.577427,-7.399506,2
304,-36.45109,35.03158,4
305,2.0921702,-76.55518,0
306,58.909016,-25.589207,2
307,20.20973,38.27756,7
308,-17.712448,49.92334,4
309,1.6987745,9.243392,3
310,0.7621641,-4.307866,3
311,-32.38881,-51.851284,0
312,-47.281857,-22.351906,0
313,-7.6830807,-15.198531,3
314,8.824433,-13.577783,1
315,-53.42454,9.000361,9
316,8.448298,-40.70059,6
317,-5.567319,42.335945,5
318,52.84229,25.933529,2
319,16.407906,-0.72607946,5
320,22.054573,33.694088,9
321,29.15166,8.746707,2
322,-52.71255,-12.803989,9
323,-0.36799043,13.420868,3
324,-47.78019,-31.048578,0
325,-11.953359,63.08713,4
326,56.55911,-48.064365,2
327,-15.38211,-54.96672,0
328,29.374666,32.65497,7
329,18.235142,-12.529082,1
330,9.505933,-12.168185,1
331,49.863544,-33.307724,2
332,20.171179,-10.493211,1
333,23.260527,14.047587,5
334,-21.18449,15.71894,3
335,-2.149616,9.819577,3
336,-64.28252,-11.379227,9
337,32.245266,40.49419,7
338,2.2369611,-23.186407,8
339,-5.9560447,-20.94502,6
340,2.8482974,1.5641872,5
341,-67.274605,18.241493,6
342,24.098747,-5.2716208,1
343,-10.506425,-11.279996,3
344,17.004257,-27.552292,8
345,17.949224,-12.190349,1
346,-50.294678,-23.99763,0
347,19.774708,26.186909,5
348,23.97358,-19.956768,1
349,-20.78523,20.129047,3
350,-63.55384,-23.843313,1
351,20.30283,12.091933,5
352,4.0049524,-7.1762805,5
353,-27.553223,-43.87414,6
354,52.068848,44.715862,1
355,34.80552,-53.539776,8
356,9.799306,16.904928,5
357,26.812675,0.43086803,1
358,-51.97841,14.488649,7
359,-41.250935,37.996952,9
360,-70.840744,14.191219,4
361,-24.310587,49.62512,6
362,23.870535,-21.231441,2
363,55.139576,-39.407806,2
364,22.191647,15.045899,5
365,-41.281975,-25.85999,0
366,-24.216345,60.25436,6
367,18.78923,4.1735597,5
368,-6.560773,-22.104462,6
369,-12.540702,15.469112,3
370,16.587902,53.12161,7
371,58.10165,-18.822647,2
372,-24.850477,-70.82973,0
373,35.347675,-31.916449,8
374,28.535006,-28.464415,8
375,16.193775,28.66078,5
376,-36.240433,4.793783,4
377,28.855026,-2.7262256,1
378,21.521254,-8.995294,1
379,-55.793377,27.784214,4
380,1.2277005,-74.9366,0
381,-3.0395286,27.99832,3
382,-21.403038,0.56877613,3
383,29.247456,39.476692,7
384,-28.704603,-47.188396,6
385,25.090313,-10.972428,1
386,-8.131799,-24.76161,6
387,57.313282,6.2001467,2
388,44.587944,35.1644,1
389,-35.65814,-4.2654,9
390,64.92204,35.78059,2
391,36.267975,-42.06425,8
392,-11.246416,-31.962938,6
393,28.832901,-2.70873,1
394,-35.806908,19.148153,9
395,13.020637,11.421304,5
396,49.1227,9.246852,2
397,13.320135,-0.18222064,5
398,-61.47947,26.108383,4
399,-56.66722,34.149067,4
400,61.9394,13.30941,2
401,21.353682,-36.7862,8
402,-12.129355,-13.7860565,3
403,25.02296,-22.23519,8
404,68.666084,-15.051219,2
405,-63.66659,20.321524,4
406,10.729964,-1.3956478,5
407,-23.783514,-58.94215,0
408,-1.6310979,-6.1628914,3
409,19.232769,-4.774052,1
410,19.764061,59.090145,7
411,28.071863,14.873356,7
412,-18.36187,17.85517,5
413,33.950592,55.39605,7
414,-51.026333,-9.9527025,9
415,16.453548,56.219322,7
416,19.036661,-13.9998255,1
417,-36.032677,7.0607076,9
418,49.583733,8.575208,2
419,8.295381,-9.707544,1
420,-5.3342137,73.04289,4
421,67.092155,11.9668045,2
422,-47.332115,-3.3186586,9
423,48.312298,2.775646,2
424,-29.286469,-60.525017,0
425,-48.797905,33.566288,4
426,-24.776283,23.569603,9
427,19.77806,-0.33197972,1
428,-12.767624,51.504143,4
429,37.635746,-27.888905,8
430,27.416656,-13.079406,1
431,24.580317,-29.155632,8
432,-53.445396,18.515411,4
433,8.892612,45.68472,5
434,-46.027393,-0.7852655,9
435,44.555218,-34.048607,8
436,46.540157,-54.190594,8
437,-29.425293,-0.05586756,3
438,31.285736,40.2731,7
439,-0.3610126,-22.19666,6
440,-13.172538,-59.747196,0
441,-45.44087,-24.315176,0
442,-17.344872,4.408712,3
443,-51.541443,-24.464693,0
444,37.20474,-61.28613,2
445,-11.774092,-18.381104,6
446,-21.964195,-40.540398,6
447,-22.264915,44.379745,4
448,-21.374346,26.029776,9
449,-24.699963,-4.8649416,3
450,-4.974002,13.801742,3
451,-7.6688995,22.48622,3
452,58.9076,-24.340008,2
453,-1.8913234,-7.665048,3
454,-63.583744,-2.0272207,9
455,-40.90272,-49.7019,1
456,51.07282,-30.066118,2
457,1.7514902,-35.188316,6
458,44.27321,-39.335327,8
459,-26.63284,-60.347984,0
460,17.299757,29.423702,5
461,-28.748049,51.287327,6
462,-29.961561,50.282204,6
463,-39.485527,55.002235,6
464,37.901787,8.693165,3
465,44.40119,-38.76998,8
466,16.930838,-56.679848,8
467,51.8018,-23.823948,2
468,27.413359,6.9826975,7
469,18.761703,11.28146,5
470,27.499563,-42.672955,8
471,-30.299553,1.4470104,9
472,-29.257124,58.821983,6
473,11.360893,-6.5296397,1
474,12.875781,-36.513855,8
475,-74.6417,17.679642,4
476,11.596497,-11.265041,1
477,65.39411,-38.304638,2
478,11.550196,15.611319,5
479,7.8821864,-28.749926,9
480,-34.905537,-59.911488,1
481,-58.621227,-10.960016,9
482,19.65693,61.875126,7
483,8.481164,48.62627,5
484,-51.34056,24.215498,4
485,-40.973015,-32.293377,0
486,33.48646,-36.42209,8
487,-49.640472,9.294222,9
488,-25.368952,23.577215,9
489,-35.43272,-63.615665,1
490,-12.473935,-19.452969,0
491,9.216948,18.758625,5
492,63.740685,-35.460655,2
493,-14.85842,-7.0961175,3
494,35.860985,34.695934,7
495,-38.957256,-14.385262,8
496,-58.33796,-9.84432,9
497,-30.533394,14.342617,4
498,-50.96411,-21.716156,0
499,2.5983224,-32.215252,6
500,-19.97677,4.8059397,3
501,-68.19661,-2.910731,9
502,-0.15470897,30.569956,5
503,51.559677,1.7419901,2
504,24.874216,0.94485587,1
505,-7.665705,13.687403,3
506,29.390984,3.0741813,1
507,2.7600124,9.882204,3
508,5.4193873,-30.126303,6
509,13.210291,14.597825,5
510,38.72096,-3.8634827,7
511,-2.9083235,46.686947,4
512,62.818947,-20.343163,2
513,52.12906,-0.012174642,2
514,-27.774952,61.777275,6
515,-9.331046,13.83311,3
516,58.15933,18.191412,2
517,-25.646143,-28.824238,6
518,7.3872604,31.10723,5
519,-37.65151,34.253872,4
520,29.829174,-50.16787,8
521,-35.72571,-0.15035246,9
522,17.723276,64.50466,7
523,64.16957,41.353775,1
