,index,0,1,Digit
0,0,-14.909317,42.791576,7
1,1,18.041544,-31.304077,2
2,2,-11.03276,-42.707798,1
3,3,40.24254,-21.695776,0
4,4,40.68985,26.312485,4
5,5,-11.209494,-39.338284,1
6,6,29.70793,35.403572,4
7,7,24.724415,5.5554824,9
8,8,-17.353825,1.3771476,5
9,9,-0.23272341,19.468313,9
10,10,46.77384,-13.7284565,0
11,11,-41.091705,16.64833,6
12,12,10.07108,14.158995,9
13,13,49.05688,-15.408054,0
14,14,8.404038,-41.369255,1
15,15,-22.762276,-19.141264,5
16,16,26.049248,15.345756,9
17,17,-11.791543,45.19225,7
18,18,-18.42408,-21.818947,3
19,19,29.30715,28.194653,4
20,20,3.0247252,28.021282,9
21,21,-38.06548,-2.164326,6
22,22,-42.948967,16.43314,6
23,23,-25.604214,0.80394804,5
24,24,30.58178,19.370867,4
25,25,39.84117,0.48146567,0
26,26,1.0895561,45.995525,7
27,27,33.56225,30.492609,4
28,28,44.0825,-19.459902,0
29,29,17.26336,-45.122185,1
30,30,-8.40929,-21.06657,3
31,31,20.111897,-44.073048,1
32,32,-13.670283,-18.549536,3
33,33,41.237614,12.215236,4
34,34,-23.21026,28.291681,7
35,35,23.03495,-4.1236157,2
36,36,-8.409608,36.79568,7
37,37,13.827771,-46.1899,1
38,38,16.75108,-30.82254,2
39,39,0.5634216,-40.745956,1
40,40,-3.4121041,-54.11074,1
41,41,-12.685209,33.295704,7
42,42,27.262236,28.889528,4
43,43,10.264112,-10.800468,2
44,44,-7.9914665,-22.683945,3
45,45,-26.277025,-6.689595,5
46,46,21.45093,-40.59437,1
47,47,15.385458,-16.56615,2
48,48,32.033165,27.545723,4
49,49,40.82466,24.170397,4
50,50,-37.69363,-10.896551,6
51,51,-14.697679,-14.97824,3
52,52,-28.587463,2.1942134,5
53,53,-21.492453,-18.049774,5
54,54,-43.085644,20.259424,6
55,55,39.62948,-24.360424,0
56,56,39.665207,26.815063,4
57,57,-9.04869,-43.2536,1
58,58,11.910183,8.674932,9
59,59,-22.771774,13.82643,5
60,60,1.6199048,47.23875,7
61,61,-13.945459,20.636938,8
62,62,20.977955,16.19192,9
63,63,9.47586,-21.357435,3
64,64,-24.451935,30.544144,7
65,65,19.957073,18.98525,4
66,66,-42.811855,16.587713,6
67,67,35.527157,25.27645,4
68,68,-3.2610216,-14.685783,3
69,69,45.96145,5.1431966,0
70,70,-12.033535,45.712658,7
71,71,48.514404,-1.6265553,0
72,72,28.4585,-9.663581,2
73,73,-0.9359186,25.462679,9
74,74,11.262592,-49.01299,1
75,75,-1.7273971,31.322313,7
76,76,-7.323032,-20.149002,3
77,77,8.050209,-0.576537,2
78,78,1.9909369,27.283592,9
79,79,-28.719446,35.193813,7
80,80,2.5560987,41.676422,7
81,81,-42.93348,2.5419016,6
82,82,19.793718,-8.803972,2
83,83,0.85850346,42.457275,7
84,84,0.24691305,-0.61039364,8
85,85,37.332928,26.925163,4
86,86,-18.797659,34.91422,7
87,87,-13.014906,-22.539886,3
88,88,-44.094,9.625818,6
89,89,-14.025052,-37.44594,1
90,90,-4.3754,-19.759586,3
91,91,-42.424843,-0.4395607,6
92,92,-2.6079683,23.79182,9
93,93,-0.9440897,-23.020191,3
94,94,19.172224,-38.905766,1
95,95,23.628242,32.215015,4
96,96,21.973701,-42.71052,1
97,97,-9.160042,25.928776,7
98,98,-34.683052,-1.1366658,6
99,99,28.917124,11.2130575,9
100,100,-41.821312,15.430774,6
101,101,48.505344,-11.12797,0
102,102,-21.874374,-4.197619,5
103,103,40.311073,23.965643,4
104,104,30.886227,8.706362,9
105,105,27.31481,13.044922,9
106,106,27.822083,-9.054271,2
107,107,-21.97755,-46.107933,1
108,108,20.418053,7.599568,9
109,109,28.104212,31.906132,4
110,110,-13.780214,5.849664,8
111,111,-10.359402,28.22841,7
112,112,0.8491632,-12.368633,3
113,113,20.80842,13.786837,9
114,114,-4.756994,29.615105,7
115,115,11.583119,18.16356,4
116,116,20.088179,29.007452,4
117,117,40.701134,27.560501,4
118,118,12.490649,16.582676,9
119,119,8.312243,0.9997159,2
120,120,-18.84499,-7.347415,5
121,121,19.79435,41.748882,4
122,122,0.14452817,38.740986,7
123,123,-44.75198,0.30640277,6
124,124,-13.843834,50.301033,7
125,125,21.27855,14.808585,9
126,126,54.52925,-2.122275,0
127,127,-21.674435,3.0081308,5
128,128,0.42380598,6.4383793,8
129,129,-23.353643,1.2381684,5
130,130,-48.163475,-4.319709,6
131,131,-50.163063,-9.824656,6
132,132,-24.935535,-13.463742,5
133,133,-5.2172217,27.377346,7
134,134,-7.8442774,10.276913,8
135,135,2.0569184,-40.840115,1
136,136,44.00187,-19.470108,0
137,137,-19.230982,-41.97321,1
138,138,-45.026886,11.771269,6
139,139,19.670078,41.000248,4
140,140,-35.84535,-2.5606368,6
141,141,0.47298026,46.368015,7
142,142,-5.490925,-10.991365,3
143,143,-8.02051,-50.478565,1
144,144,-13.964177,26.164837,7
145,145,19.240986,-45.665745,1
146,146,-0.82925326,9.8923855,8
147,147,21.41781,-4.989664,2
148,148,40.00207,-18.57054,0
149,149,9.140675,-4.296889,2
150,150,25.267103,13.902735,9
151,151,-7.9705114,-8.305365,9
152,152,-22.104156,8.717803,5
153,153,-24.64675,-9.0399475,5
154,154,7.7243214,-46.027836,1
155,155,-28.424185,5.6453876,5
156,156,-44.669228,9.401569,6
157,157,45.11186,-20.555347,0
158,158,-14.888876,-24.77737,3
159,159,20.217772,22.384855,4
160,160,21.171457,30.560635,4
161,161,-50.723312,-9.767252,6
162,162,-21.289766,-3.6223462,5
163,163,40.07233,24.5485,4
164,164,-42.99308,10.99013,6
165,165,-24.266466,-16.193596,5
166,166,23.087032,25.350386,4
167,167,-32.05336,16.784456,5
168,168,14.703567,-44.627384,1
169,169,28.710821,24.786673,4
170,170,26.855488,23.252247,4
171,171,-26.13975,28.951984,7
172,172,24.618519,-27.91882,2
173,173,-16.059357,-24.575045,3
174,174,17.16075,-15.649329,2
175,175,-8.567516,29.052898,7
176,176,-3.5599337,-53.76106,1
177,177,-3.8088512,1.5469534,8
178,178,3.0903058,-43.32881,1
179,179,-5.9858813,0.50779647,8
180,180,3.3644714,-45.50823,1
181,181,-8.020305,-1.3090329,8
182,182,-23.938757,2.6350117,5
183,183,44.764473,-1.1986659,0
184,184,-10.555361,3.0110276,8
185,185,7.4907393,10.885245,9
186,186,19.301884,-26.274935,2
187,187,-19.653376,-10.017839,5
188,188,42.259293,-8.577658,0
189,189,21.953075,-44.059696,1
190,190,-15.868089,-35.13045,1
191,191,21.879402,-42.07912,1
192,192,32.714867,-7.241321,0
193,193,22.30745,7.8904166,9
194,194,42.303505,-15.644498,0
195,195,4.540354,-7.079628,3
196,196,11.327637,-46.318935,1
197,197,-42.2189,-11.572321,6
198,198,27.469765,34.0555,4
199,199,16.47272,-10.885342,2
200,200,-8.085806,-32.86369,3
201,201,-47.438477,14.841035,6
202,202,-23.097315,-37.137478,1
203,203,17.043756,-49.268326,1
204,204,-10.850274,-42.461838,1
205,205,-10.921396,-20.140163,3
206,206,14.011315,18.65382,9
207,207,-21.315453,-16.893963,5
208,208,19.359308,-8.994369,2
209,209,27.743301,6.31173,9
210,210,38.89863,27.903557,4
211,211,-21.229288,8.306003,5
212,212,29.431963,6.4749994,9
213,213,3.8921974,-15.014027,3
214,214,16.655737,11.644345,9
215,215,40.87017,-21.031918,0
216,216,2.8227596,-17.374336,3
217,217,-39.16937,-20.87342,6
218,218,-23.116268,11.81995,5
219,219,-30.512003,-6.3530765,5
220,220,1.3638219,42.11385,7
221,221,26.068958,-14.998897,2
222,222,15.744227,-10.134849,2
223,223,-20.604317,33.75942,7
224,224,-22.305462,-47.47473,1
225,225,23.789711,-21.37924,2
226,226,-0.29257527,2.5510106,8
227,227,20.315296,26.352766,4
228,228,-18.237417,-46.85248,1
229,229,-8.088836,32.243187,7
230,230,-6.258487,-26.378962,3
231,231,4.056061,-15.930173,3
232,232,-8.037608,-1.2551459,8
233,233,4.5419707,5.19774,8
234,234,-6.6978226,32.097687,7
235,235,26.783466,15.031428,9
236,236,15.209467,-23.570807,2
237,237,15.927256,-16.64131,2
238,238,26.009327,30.825588,4
239,239,10.054652,-44.221325,1
240,240,-26.606411,-12.109443,5
241,241,-6.810004,-8.812317,9
242,242,-13.570906,20.17009,8
243,243,-1.6582416,30.140327,7
244,244,13.047959,-19.104034,2
245,245,-18.846495,-20.774853,3
246,246,53.438313,-1.1698415,0
247,247,-45.327805,-21.574078,4
248,248,30.567894,32.199932,4
249,249,21.506067,-27.390034,2
250,250,21.461176,11.829602,4
251,251,20.042194,-46.33755,1
252,252,20.247135,11.977422,9
253,253,-26.3196,-6.054961,5
254,254,-3.2051077,38.11761,7
255,255,-5.252826,32.4392,7
256,256,19.85509,-26.587221,2
257,257,-3.7844849,-1.0314957,8
258,258,22.167562,-14.029853,2
259,259,-39.32014,16.746449,6
260,260,-9.964752,19.00129,8
261,261,-24.716724,8.95034,5
262,262,-0.94796187,42.970528,7
263,263,-6.8701663,33.455864,7
264,264,20.0286,6.6932425,9
265,265,9.594866,-40.862934,1
266,266,-12.667687,-3.1073756,8
267,267,8.198409,-39.462,1
268,268,-8.415648,-6.340621,8
269,269,45.7418,5.327698,0
270,270,-14.328248,-18.880503,3
271,271,42.96059,-21.241787,0
272,272,10.083691,-44.1958,1
273,273,9.615385,10.751452,9
274,274,31.2705,10.34886,9
275,275,32.987064,31.746504,4
276,276,-6.375978,-48.350277,1
277,277,-1.7017428,5.9880605,8
278,278,21.210697,-16.575426,2
279,279,7.052034,-47.37337,1
280,280,23.012106,-29.225342,2
281,281,6.7029433,13.1407175,9
282,282,-6.459467,30.443533,7
283,283,-21.384949,8.33404,5
284,284,31.538095,13.127947,9
285,285,24.876715,-16.859877,2
286,286,-39.83161,-9.664855,6
287,287,42.270653,18.645126,4
288,288,-9.144857,-45.98565,1
289,289,-25.271292,-13.762707,5
290,290,-0.019740652,-3.9200451,8
291,291,22.227903,-30.292234,2
292,292,24.395714,13.957273,9
293,293,13.661342,-15.833776,2
294,294,41.75769,-17.306076,0
295,295,34.942135,19.465044,4
296,296,43.049797,-3.4842927,0
297,297,46.71162,4.5410504,0
298,298,25.540716,-30.527098,2
299,299,-9.1812525,2.5888314,8
300,300,-11.226972,-51.410202,4
301,301,-3.8507333,29.467533,7
302,302,15.38692,-46.025505,1
303,303,9.905256,-1.6748866,2
304,304,22.118761,29.5111,4
305,305,53.20927,-3.903656,0
306,306,18.693953,-28.678091,2
307,307,-5.2052565,29.581776,7
308,308,23.655964,35.24532,4
309,309,-10.780386,-22.512835,3
310,310,-10.124544,-27.08189,3
311,311,46.59555,-9.024492,0
312,312,40.340572,-20.251553,0
313,313,-16.88714,-22.272997,3
314,314,10.572598,-42.07128,1
315,315,8.887325,8.870957,9
316,316,-39.598095,-19.09717,6
317,317,-27.656485,17.08256,5
318,318,27.59539,-12.321019,2
319,319,-22.81392,-17.125826,5
320,320,-6.9640803,30.193098,9
321,321,-17.668623,26.056278,2
322,322,20.072351,11.595223,9
323,323,4.458791,-15.986191,3
324,324,45.60254,-21.844345,0
325,325,19.099346,42.347332,4
326,326,18.714907,-33.076492,2
327,327,39.655674,-12.408533,0
328,328,-2.4719534,32.132504,7
329,329,3.5327537,-41.83277,1
330,330,6.649405,-43.920208,1
331,331,21.013006,-27.245443,2
332,332,2.108249,-43.311584,1
333,333,-18.925673,-1.6660184,5
334,334,-5.8723683,-19.254707,3
335,335,-5.0035086,-23.627954,3
336,336,26.433153,9.760893,9
337,337,-6.783463,38.807156,7
338,338,-10.768076,-8.797056,8
339,339,-34.628326,-1.0104632,6
340,340,-31.746834,-11.469416,5
341,341,36.729687,20.81656,6
342,342,5.163415,-43.13163,1
343,343,-15.866357,-27.38345,3
344,344,-2.2754967,-1.6756897,8
345,345,7.707179,-39.553337,1
346,346,36.267895,-24.30326,0
347,347,-21.488958,2.4415698,5
348,348,-9.314989,-46.739685,1
349,349,2.1858203,-8.90393,3
350,350,19.497303,-39.965202,1
351,351,-20.066418,-4.609629,5
352,352,-22.644613,-19.86218,5
353,353,-48.44295,2.8875484,6
354,354,-30.91082,-31.99208,1
355,355,-14.802005,13.962051,8
356,356,-24.655846,-4.800053,5
357,357,4.839437,-48.876953,1
358,358,4.726131,40.449554,7
359,359,16.253126,12.188926,9
360,360,42.435165,18.9904,4
361,361,-41.86615,12.48296,6
362,362,-10.731759,33.238586,2
363,363,14.771611,-30.27872,2
364,364,-17.414703,-5.3551807,5
365,365,38.53004,-18.685833,0
366,366,-41.092285,12.111466,6
367,367,-18.10909,-12.386335,5
368,368,-37.444107,-2.5362988,6
369,369,-4.891118,-19.726517,3
370,370,-0.7850013,38.330635,7
371,371,17.071194,-32.722504,2
372,372,54.614353,-2.6227357,0
373,373,-2.6656966,4.4789624,8
374,374,0.26177916,2.743217,8
375,375,-22.592794,2.395833,5
376,376,18.210087,19.147274,4
377,377,-3.9251473,-51.49839,1
378,378,0.4091505,-46.423187,1
379,379,33.57614,29.719118,4
380,380,53.01735,-3.05034,0
381,381,-20.004955,-20.440731,3
382,382,-11.437146,-18.334684,3
383,383,-8.158282,35.502186,7
384,384,-50.941086,5.034513,6
385,385,-1.9178365,-46.6518,1
386,386,-35.59535,-6.3453054,6
387,387,14.051089,-18.180365,2
388,388,-32.02148,-37.505985,1
389,389,13.668666,19.177195,9
390,390,23.737417,0.30019042,2
